logFC	AveExpr	t	P.Value	adj.P.Val	B	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0M12881g	2.07633333333333	1.41116666666667	10.5293078457163	2.47962912664588e-07	4.38188232391402e-05	7.4699218683776	0.033	0.307	0.779	2.492	2.255	2.601
CAGL0E04554g	2.38383333333333	0.61675	10.5098617184003	2.5291565688333e-07	4.38188232391402e-05	7.45018851950138	0.023	-0.927	-0.8215	1.829	1.685	1.912
CAGL0F06413g	-2.32833333333333	-2.99433333333333	-10.4956577452434	2.56600565522976e-07	4.38188232391402e-05	7.43575303791398	-1.559	-1.5305	-2.401	-4.2385	-4.242	-3.995
CAGL0E02255g	-1.66816666666667	-0.68225	-10.1926740981954	3.507068691024e-07	5.79571384003741e-05	7.12340351886006	0.402	-0.1075	0.161	-1.5685	-1.48	-1.5005
CAGL0E01837g	1.93816666666667	-0.16575	10.0722184469102	3.97926289157009e-07	6.18032647565577e-05	6.99683125310538	-1.3065	-0.7505	-1.3475	0.556	0.9115	0.9425
CAGL0F05093g	1.66033333333333	0.619	10.071784978299	3.98108088418193e-07	6.18032647565577e-05	6.99637327125528	-0.2975	-0.4095	0.0735	1.465	1.361	1.5215
CAGL0I04686g	1.721	-0.696166666666667	9.91523258988701	4.70001561360352e-07	6.96820472517877e-05	6.82978048990263	-1.515	-1.461	-1.694	-0.0945	0.471	0.1165
CAGL0M09581g	1.97733333333333	-0.2325	9.90323019340808	4.76063176617718e-07	6.96820472517877e-05	6.81690991556723	-1.331	-1.472	-0.8605	0.43	0.917	0.9215
CAGL0F00605g	1.954	-0.140333333333333	9.82926761874137	5.15323068943128e-07	7.22260214779993e-05	6.7372849273014	-1.421	-1.206	-0.725	0.868	1.048	0.594
CAGL0H00506g	1.45583333333333	-0.838083333333333	9.81793486134346	5.21640209776689e-07	7.22260214779993e-05	6.72503686815084	-1.4235	-1.7105	-1.564	-0.1705	-0.041	-0.119
CAGL0D05940g	-2.30383333333333	-0.230083333333333	-9.78564358982885	5.40101385203778e-07	7.28141946420778e-05	6.69006771894721	0.646	1.5075	0.612	-1.469	-1.1015	-1.5755
CAGL0F02563g	-1.59483333333333	0.0414166666666667	-9.72940175650157	5.73954767476915e-07	7.53941095842112e-05	6.62891392347048	0.7915	0.719	1.006	-0.5095	-0.879	-0.8795
CAGL0H06699g	1.8475	-1.40258333333333	9.61838160712366	6.47670328706177e-07	8.29503773490436e-05	6.5072654866369	-2.415	-2.6585	-1.9055	-0.579	-0.3975	-0.46
CAGL0H09592g	-2.48016666666667	-2.28291666666667	-9.54295088546211	7.03530303634491e-07	8.75092442443796e-05	6.42390039213577	-1.7175	-0.4525	-0.9585	-3.413	-3.686	-3.47
CAGL0I01276g	1.754	0.144	9.52194775329401	7.19990652455124e-07	8.75092442443796e-05	6.40058440005975	-0.593	-0.522	-1.084	1.17	1.087	0.806
CAGL0I07969g	2.27633333333333	0.572333333333333	9.50384478533215	7.34510541188429e-07	8.75092442443796e-05	6.38045155724	-0.591	-0.48	-0.6265	1.072	1.872	2.1875
CAGL0H09614g	-2.29933333333333	-2.2735	-9.426324934698	8.00344819895193e-07	9.26568574038591e-05	6.29385667591149	-1.7355	-0.608	-1.028	-3.3255	-3.625	-3.319
CAGL0B04675g	-1.898	-3.28566666666667	-9.38878578038146	8.34480577822139e-07	9.26568574038591e-05	6.25169864940154	-2.104	-2.0705	-2.8355	-4.286	-4.2565	-4.1615
CAGL0I07843g	1.66266666666667	0.376333333333333	9.38218151890054	8.40646330866342e-07	9.26568574038591e-05	6.24426657618548	-0.564	-0.603	-0.198	0.955	1.434	1.234
CAGL0J05478g	1.538	0.151666666666667	9.35782718741535	8.63810300968139e-07	9.26568574038591e-05	6.21682009104429	-0.573	-0.86	-0.419	1.0425	0.771	0.9485
CAGL0K00869g	1.8465	0.73375	9.35334326989289	8.68149356897372e-07	9.26568574038591e-05	6.21176009483015	-0.075	-0.3125	-0.181	1.4025	1.45	2.1185
CAGL0J10978g	1.4155	0.472916666666667	9.23578327635424	9.90694184695229e-07	0.00010357808792232	6.07833988199114	-0.118	-0.2685	-0.318	1.241	1.307	0.994
CAGL0D06402g	1.73916666666667	-0.17475	9.16930169137908	1.06812175511701e-06	0.000105904833020723	6.00223898179696	-0.9845	-0.873	-1.2755	0.331	0.802	0.9515
CAGL0L06666g	-2.58466666666667	0.359833333333333	-9.15429944890625	1.08647810346682e-06	0.000105904833020723	5.98500055145535	1.819	2.271	0.8665	-0.911	-1.081	-0.8055
CAGL0J03234g	-1.49516666666667	-0.000750000000000028	-9.15059920949842	1.0910575353341e-06	0.000105904833020723	5.98074504525142	0.8805	0.643	0.717	-0.638	-0.5975	-1.0095
CAGL0D00880g	-1.39766666666667	-0.204166666666667	-9.12844302617852	1.11891560041882e-06	0.000105904833020723	5.95523320093014	0.4495	0.6405	0.394	-0.9485	-0.741	-1.0195
CAGL0H04939g	1.49	-2.85433333333333	9.12268406961522	1.12628108767683e-06	0.000105904833020723	5.94859335390288	-3.5545	-3.401	-3.8425	-2.1615	-2.201	-1.9655
CAGL0C00110g	1.37816666666667	0.213583333333333	9.11438783220388	1.13698337227011e-06	0.000105904833020723	5.93902182637968	-0.556	-0.4175	-0.453	0.7125	1.014	0.9815
CAGL0C00759g	-1.69216666666667	-0.487583333333333	-9.05702642546988	1.21403697468031e-06	0.000111062703951557	5.87263889565337	0.5135	0.539	0.023	-1.1	-1.336	-1.565
CAGL0H04081g	-1.905	-0.4295	-8.95825039837469	1.36018256763051e-06	0.0001222493911223	5.7574869184193	0.694	0.5785	0.2965	-0.883	-1.662	-1.601
CAGL0K10824g	-1.25633333333333	-0.471333333333333	-8.93870575785168	1.39127957259094e-06	0.00012288836638592	5.73457499756334	0.211	0.1625	0.097	-1.1025	-1.1415	-1.0545
CAGL0L12364g	-1.35866666666667	-0.226666666666667	-8.91292932616302	1.43346446071648e-06	0.000124468448004246	5.70429309836774	0.28	0.581	0.497	-1.029	-0.825	-0.864
CAGL0F04213g	1.943	-0.0866666666666667	8.89587365692805	1.46213103489413e-06	0.000124841621529378	5.68421580819799	-1.363	-1.325	-0.4865	0.8015	0.953	0.9
CAGL0E03850g	2.13116666666667	1.91591666666667	8.87834870604243	1.49222863521439e-06	0.000125322742593497	5.6635524531848	1.0205	0.691	0.8395	2.4955	2.858	3.591
CAGL0J05258g	1.936	0.2925	8.76581162687734	1.70207439928273e-06	0.00013966252136091	5.5300445666539	-0.6765	-0.63	-0.72	0.722	1.3265	1.733
CAGL0L05500g	-1.2335	-0.30325	-8.74659893385574	1.74096351629418e-06	0.00013966252136091	5.50710944922292	0.4045	0.276	0.26	-0.93	-0.913	-0.917
CAGL0K06259g	-2.703	-1.59166666666667	-8.73264204720178	1.76981180873885e-06	0.00013966252136091	5.49042227749798	0.0095	0.398	-1.128	-2.762	-3.1805	-2.887
CAGL0M04499g	1.5155	0.228583333333333	8.72226750740738	1.79158784820352e-06	0.00013966252136091	5.47800395023812	-0.5805	-0.4145	-0.5925	0.893	0.749	1.317
CAGL0G08712g	1.42583333333333	-0.684416666666667	8.7186337492785	1.79928292208082e-06	0.00013966252136091	5.47365145558834	-1.4045	-1.5805	-1.207	0.134	0.129	-0.1775
CAGL0I06050g	1.41433333333333	-3.36433333333333	8.69322911926632	1.85408241574271e-06	0.000141319437895381	5.44318005730494	-4.286	-4.074	-3.8545	-2.684	-2.775	-2.5125
CAGL0M09713g	1.34066666666667	0.881666666666667	8.68338335523587	1.87579968317118e-06	0.000141319437895381	5.43135089447129	0.2025	0.297	0.1345	1.4795	1.4135	1.763
