log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0E03762g	-0.3195	-0.4625	-0.5185	-0.031	0.2045	-0.3915	-0.5505	-0.246	-0.459	0.545	0.024	NA	-0.0155	0.047	0.101	0.695	0.596
CAGL0E03784g	-0.7665	-0.97	-0.544	-0.3065	-0.6965	-0.7145	-0.5745	-0.842	-0.923	0.6165	0.666	-0.38	-0.777	-0.52	-0.2995	-0.7055	-0.825
CAGL0E03806g	-0.059	-0.0805	0.08	-0.1525	-0.086	-0.037	0.1505	0.2165	-0.134	-0.0435	0.002	-0.011	0.0675	-0.0125	-0.092	0.006	-0.23
CAGL0E03828g	0.123	-0.012	0.282	0.3405	0.3995	0.306	0.2235	-0.141	0.1015	0.3405	0.4925	0.516	0.6945	0.5215	0.8415	0.548	0.265
CAGL0E03850g	0.196	0.007	0.356	-2.036	-2.0315	-2.38	1.0205	0.691	0.8395	-1.901	-1.685	0.155	0.4935	0.367	2.4955	2.858	3.591
CAGL0E03872g	0.1775	0.045	0.25	0.014	-0.1155	0.0135	0.348	0.3535	0.1295	0.1845	0.314	0.1445	0.28	0.052	-0.0175	-0.232	-0.648
CAGL0E03894g	0.119	0.1085	-0.3395	0.2005	0.1015	0.543	0.197	0.075	0.125	-0.091	-0.437	NA	0.0495	0.0445	0.3415	0.712	0.7945
CAGL0E03916g	-4.0295	-3.9745	-4.26	-3.7325	-3.811	-4.3225	-3.8385	-3.7795	-4.108	-3.761	-3.495	-2.518	-2.977	-2.611	-2.5905	-2.704	-2.3315
CAGL0E03938g	0.8555	0.842	0.382	-1.905	-1.8355	-1.493	0.849	0.439	0.429	-0.874	-1.1755	0.142	0.323	0.0555	-0.221	-0.286	-0.6895
CAGL0E03960g	0.151	0.316	0.1735	0.393	0.33	0.5945	-0.0235	-0.0285	-0.167	0.1005	0.129	0.528	0.302	0.33	0.0905	0.9545	0.1285
CAGL0E03982g	-0.4715	-0.293	-0.7245	0.3145	0.8595	0.225	-0.739	-0.3465	-0.935	0.449	0.439	-0.7195	-0.753	-0.7365	-0.304	-0.07	-0.049
CAGL0E04004g	-0.7025	-0.5645	-0.0015	0.2995	0.756	0.2895	-0.0195	0.0395	-0.143	0.7635	0.817	0.043	-0.234	0.0745	0.2605	0.124	0.5165
CAGL0E04026g	-0.036	-0.0085	-0.0695	0.1005	0.2995	0.012	-0.0365	0.057	-0.1295	0.4675	0.476	0.318	0.2305	0.0585	0.414	0.483	0.311
CAGL0E04048g	-0.242	-0.2345	0.031	0.612	0.3675	0.4235	-0.1425	-0.309	-0.427	0.073	0.44	0.03	0.028	0.063	0.669	0.4815	0.729
CAGL0E04070g	-0.005	0.196	-0.053	0.249	0.269	0.181	-0.2635	-0.056	-0.363	0.248	0.457	0.01	0.062	-0.0645	-0.3355	-0.22	-0.161
CAGL0E04092g	-1.4425	-1.3385	-2.247	0.877	1.241	1.1535	-2.8625	-2.927	-2.4215	1.58	0.501	-3.444	-3.7865	-3.533	-2.8785	-2.6225	-2.072
CAGL0E04114g	-0.152	-0.2245	-0.5485	-0.8205	-0.9845	-0.817	-0.429	-0.554	-0.118	-1.0615	-1.06	0.035	0.183	0.078	0.8115	0.976	0.7145
CAGL0E04136g	0.3525	0.2505	0.191	-0.555	-0.5805	-0.4255	0.2785	0.031	0.381	-0.3595	-0.106	0.5875	0.7385	0.512	0.697	0.4235	0.194
CAGL0E04158g	0.726	0.634	0.8065	-0.1395	-0.2045	-0.058	0.859	0.752	0.565	-0.583	-0.639	0.58	0.574	0.489	0.255	0.014	0.2515
CAGL0E04180g	-0.102	0.058	-0.065	0.009	0.0635	0.039	-0.0895	0.0395	0.0945	-0.3095	-0.01	0.402	0.51	0.254	0.7155	0.7175	1.052
CAGL0E04224g	-0.5175	-0.359	-0.428	-0.1875	-0.162	-0.4495	-0.606	-0.2465	-0.644	-0.2705	-0.1655	0.054	0.2565	-0.19	0.6895	1.5505	0.6205
CAGL0E04246g	0.341	0.4785	0.6485	0.3095	0.1975	0.348	0.3935	0.4125	0.6025	-0.085	0.1495	0.9	0.9445	0.905	0.001	-0.6165	-0.724
CAGL0E04268g	0.2625	0.2025	0.097	0.347	0.563	0.222	0.2095	-0.1165	0.095	0.2015	-0.0565	0.103	-0.136	0.101	-0.1515	-0.087	-0.025
CAGL0E04290g	0.2525	-0.029	0.0355	-0.407	-0.3335	-0.5975	-0.177	-0.34	0.3265	-0.062	-0.516	0.144	0.0815	-0.031	0.266	0.0805	0.2775
CAGL0E04312g	-0.1855	-0.19	-0.419	0.5065	0.863	0.441	0.018	0.326	0.2225	0.2465	0.08	0.31	0.098	0.132	0.252	0.546	NA
CAGL0E04334g	0.0625	0.2965	0.2905	-1.214	-0.17	-1.73	1.1145	1.572	1.511	-0.5855	-1.1085	-0.494	-0.586	-0.871	0.2545	0.777	0.777
CAGL0E04356g	-0.9645	-0.931	-0.975	-0.403	-0.094	-0.8355	-0.5845	-0.1365	-1.68	-0.821	-0.761	-0.7625	-0.9725	-0.852	-0.326	-0.0885	0.0205
CAGL0E04378g	-0.281	-0.149	-0.188	0.18	-0.019	-0.102	-0.289	-0.12	-0.7345	-0.185	-0.08	NA	-0.234	-0.1155	-0.765	-0.448	NA
CAGL0E04400g	0.639	0.442	0.565	0.0705	0.104	0.0225	0.248	0.1755	0.514	-0.0925	-0.2105	0.4575	0.528	0.4215	0.469	0.539	1.4435
CAGL0E04422g	-0.0175	-0.0305	0.0265	0.224	0.5225	0.2775	0.1995	0.2575	0.079	0.6465	0.4475	-0.216	-0.31	-0.304	0.1165	0.2345	0.338
CAGL0E04444g	0.121	-0.019	-0.066	-0.304	-0.3035	-0.2015	-0.066	-0.261	0.0465	-0.626	-0.56	-0.091	-0.198	0.097	-0.1415	0.16	-0.0605
CAGL0E04466g	0.184	0.0535	0.1035	-0.152	-0.143	0.022	0.1005	-5e-04	0.154	-0.0895	-0.1125	-0.107	0.1325	0.127	-0.093	-0.1115	-0.267
CAGL0E04488g	0.054	0.2425	0.254	0.4505	0.1745	0.6235	-0.0325	0.2955	0.186	0.3795	0.404	0.0205	-0.18	-0.0365	-0.1775	0.039	-0.413
CAGL0E04510g	-0.9975	-0.9705	-0.851	1.0595	0.955	0.9615	-0.889	-0.85	-0.905	1.355	1.539	-0.644	-0.6815	-0.542	-0.2415	-0.4755	-0.623
CAGL0E04532g	0.2005	0.045	0.176	-0.099	-0.457	-0.1635	0.0735	-0.081	0.1785	-0.146	0.009	0.329	0.326	0.434	-0.4335	-1.038	-0.932
CAGL0E04548g	-1.7465	-2.031	-1.3315	1.504	1.005	0.868	-1.3095	-1.691	-2.0775	1.0915	1.4805	-0.989	-1.1375	-0.9885	-0.456	-0.861	-0.771
CAGL0E04554g	0.506	0.491	0.284	1.691	2.0325	0.756	0.023	-0.927	-0.8215	0.9525	1.608	NA	1.0635	1.266	1.829	1.685	1.912
CAGL0E04576g	0.294	0.0525	0.112	-0.358	-0.341	-0.2395	0.2115	-0.428	0.3815	-0.276	-0.374	0.1515	0.2695	0.359	0.5135	0.4285	0.4335
CAGL0E04598g	0.1735	-0.065	0.086	0.337	0.465	0.161	0.0475	0.0405	-0.805	0.3855	0.4085	-0.075	-0.1275	0.3795	-0.104	-0.0885	0.1085
CAGL0E04620g	-0.212	0.257	0.0445	0.454	0.3835	0.437	-0.2815	0.0255	0.8435	-0.436	-0.6915	0.503	0.3225	0.462	0.1365	0.4455	0.8195
CAGL0E04642g	-0.0985	0.02	-0.0495	0.331	0.453	0.4275	-0.147	0.0275	0.2185	0.574	0.664	0.0865	0.064	0.072	0.1715	0.2695	NA
CAGL0E04664g	0.037	0.152	0.234	0.3055	0.494	0.5165	0.008	-0.0485	0.192	0.2525	0.123	-0.1505	-0.11	0.0465	-0.2155	-0.7575	-0.8575
CAGL0E04686g	0.17	-0.0635	0.195	0.524	0.449	0.4255	0.253	0.0445	-0.006	0.592	0.47	-0.078	0.069	0.0415	0.2465	0.2425	0.5
CAGL0E04708g	-0.4725	-0.694	-0.3165	0.694	0.4585	0.4635	-0.3025	-0.468	-0.4185	0.737	1.0355	0.1195	0.112	0.064	0.2355	-0.0425	-0.0665
CAGL0E04752g	0.2605	0.6995	0.38	0.45	0.3265	0.81	0.2275	0.8445	0.59	0.027	0.1945	0.566	0.3785	0.5625	0.1235	0.489	-0.084
CAGL0E04774g	-0.6515	-0.675	-0.7835	0.6565	0.826	1.28	0.2225	0.686	0.778	1.3865	0.773	-0.1495	-0.297	-0.485	0.0725	0.734	1.184
CAGL0E04796g	-0.0355	-0.03	0.131	0.2775	0.2215	0.536	-0.0105	0.1705	0.389	0.1825	-0.0495	-0.0085	-0.013	-0.038	0.2055	0.3365	0.74
CAGL0E04818g	0.258	0.089	0.162	0.2465	-0.0425	0.098	0.1315	-0.184	-0.17	0.087	0.239	NA	-0.2665	-0.044	0.1715	0.3285	0.057
CAGL0E04840g	0.1925	0.024	-0.0405	0.064	-0.052	0.0885	-0.0215	-0.1375	-0.064	-0.205	-0.0185	NA	-0.238	-0.079	-0.0525	-0.0405	0.1165
CAGL0E04862g	-0.021	-0.15	-0.232	0.0145	0.315	0.059	0.073	0.0845	-0.098	0.721	0.4675	-0.2035	-0.227	-0.166	-0.034	0.1925	0.282
CAGL0E04884g	-1.537	-1.6785	-1.582	-0.317	0.0955	-0.6685	-1.1755	-1.513	-0.978	-0.697	-0.4585	-0.345	-0.1535	-0.45	0.2455	0.1725	0.8815
CAGL0E04906g	0.439	0.396	0.791	-0.2385	-0.377	0.425	0.308	0.0205	0.5365	0.2745	0.3805	0.3715	0.409	0.0885	1.0245	1.488	1.566
CAGL0E04928g	0.332	0.051	0.387	0.178	0.0835	0.401	0.125	-0.1625	-0.025	0.3765	0.3345	0.035	0.0485	0.1075	0.055	0.105	0.237
CAGL0E04950g	-0.1725	-0.1965	-0.184	-0.3855	-0.478	-0.529	0.467	0.653	0.2535	0.7505	0.995	0.0545	-0.119	-0.0965	-0.016	0.053	-0.1465
CAGL0E04972g	0.1415	0.274	0.0725	0.2045	0.2955	0.1975	0.0065	0.1855	0.2095	-0.2635	-0.272	0.1275	0.0245	-0.015	-0.0955	-0.059	-0.183
CAGL0E04994g	0.556	0.333	0.33	-1.252	-1.6975	-0.8855	0.362	0.169	0.258	-0.562	-0.8775	NA	0.4955	0.316	-0.3255	-0.4165	-0.776
CAGL0E05016g	0.254	0.3315	0.315	-0.6315	-0.5915	-0.305	0.086	0.309	-0.1575	-0.3875	-0.592	0.098	0.01	0.0715	-0.0495	0.017	-0.2265
CAGL0E05038g	0.007	0.3195	0.1735	0.345	0.261	0.4545	0.0895	0.2805	0.662	0.043	0.0705	0.2165	0.1025	0.1265	-0.416	-0.0355	-0.261
CAGL0E05060g	-0.13	-0.104	-0.157	0.1975	0.136	0.119	-0.1215	-0.2115	0.3315	-0.1545	0.0405	0.43	0.534	0.4375	0.7085	0.227	0.131
CAGL0E05082g	-0.385	-0.459	-0.229	0.3045	0.394	0.0755	-0.2965	-0.581	-0.2295	-0.066	-0.173	-0.158	-0.175	0.0425	0.183	-0.062	-0.0385
CAGL0E05104g	0.144	-0.0185	-0.0575	-0.129	-0.0355	-0.0545	0.0425	0.1245	0.0945	-0.323	-0.3295	0.011	0.0915	-0.019	0.171	-0.015	0.2815
CAGL0E05126g	-0.146	-0.131	-0.2375	-0.3465	-0.42	-0.3355	-0.4165	-0.14	-0.4625	0.0975	0.181	-0.462	-0.387	-0.428	-0.65	-0.2485	-0.2225
CAGL0E05148g	-1.5215	-1.5955	-1.5505	0.93	1.464	0.0715	-1.03	-0.7045	-1.717	0.6565	0.9455	-1.42	-1.422	-1.336	-0.5005	-0.1335	-0.0995
CAGL0E05170g	-0.492	-0.29	-0.5145	1.323	1.6775	1.27	-0.526	0.01	-0.179	0.4945	0.5095	0.616	0.118	0.323	0.8255	1.021	0.918
CAGL0E05192g	-0.2995	-0.323	-0.4915	0.9785	1.878	0.1515	0.2165	0.4835	0.255	0.4815	0.753	0.192	0.03	0.2075	0.9915	1.069	1.476
CAGL0E05214g	-0.399	-0.2095	-0.461	0.7755	1.665	-0.01	0.07	0.6665	0.0205	0.5965	1.0385	0.197	-0.124	0.051	0.872	1.388	1.7635
CAGL0E05236g	-0.0825	0.062	0.295	0.1525	-0.05	0.318	0.328	0.7425	0.2955	0.499	0.523	-0.011	0.12	0.1315	0.2235	0.043	0.22
CAGL0E05258g	-0.215	0.082	-0.0165	0.0065	-0.3145	0.087	0.1495	0.5595	-0.017	0.6565	0.771	0.3005	0.148	0.417	0.1585	0.438	0.4655
CAGL0E05280g	0.0015	-0.0275	-0.0985	-0.2055	-0.3415	0.09	-0.226	0.087	-0.226	1.395	1.405	0.579	0.427	0.79	0.247	0.157	0.2075
CAGL0E05302g	-0.368	-0.312	-0.174	0.7475	0.7485	0.5775	-0.233	0.1695	-0.16	0.2725	0.1885	-0.281	-0.404	-0.244	-0.54	-0.544	-0.6895
CAGL0E05324g	-0.2375	-0.3705	-0.3725	-0.123	-0.182	-0.1675	-0.17	-0.2815	-0.4475	-0.2665	-0.3225	-0.6225	-0.5115	-0.5325	-0.2165	0.004	-0.1405
CAGL0E05346g	-0.325	-0.608	-0.2145	0.5565	0.681	0.457	-0.248	-0.7215	-0.982	1.014	0.687	-0.908	-0.7955	-0.818	0.037	0.6185	1.4265
CAGL0E05368g	0.224	0.114	0.08	0.6265	0.704	0.6025	0.0785	-0.0565	0.0325	0.5715	0.4165	0.139	0.1775	0.122	0.158	0.1175	0.395
CAGL0E05390g	0.348	0.4785	0.145	-1.1605	-0.954	-0.7655	0.1895	0.406	0.2065	-1.116	-1.0885	0.728	0.6965	0.6595	0.4735	0.595	0.619
CAGL0E05412g	-0.116	-0.0625	-0.1145	0.372	0.526	0.228	-0.1415	-0.035	-0.13	0.1455	0.107	-0.3485	-0.5215	-0.511	0.076	0.552	0.6765
CAGL0E05434g	0.381	0.4235	0.2475	-0.0415	-0.0425	0.242	0.26	0.218	0.408	0.3965	0.3415	0.327	0.3745	0.4305	-0.449	-0.2505	-0.588
CAGL0E05456g	-1.051	-1.127	-1.0955	-0.411	-0.096	-0.9505	-1.412	-1.293	-1.756	0.226	0.0495	-0.1695	0.009	0.013	-1.3045	-1.5545	-1.1755
CAGL0E05478g	0.4675	0.4395	0.1755	-0.9185	-0.889	-0.6515	0.0945	0.1205	-0.0565	-0.461	-0.5505	0.564	0.6615	0.528	-0.5625	-0.4275	0.021
CAGL0E05500g	0.115	0.0885	-0.5585	-1.78	-1.4955	-1.265	0.14	-0.1115	0.661	-1.155	-1.6525	0.0675	0.187	-0.1455	0.0565	-0.105	-0.503
CAGL0E05522g	0.1365	0.479	-0.179	-0.7465	-0.9295	-0.898	-0.46	0.0755	-0.1235	-0.9675	-0.4565	0.329	0.5745	0.4265	-0.516	-0.3545	-0.6085
CAGL0E05566g	-0.061	-0.1755	-0.1835	0.2035	0.287	0.1965	0.249	0.254	-0.0145	0.9615	1.051	0.548	0.5175	0.4075	1.183	1.4325	0.707
CAGL0E05588g	-0.8305	-1.1205	-0.6725	0.6195	0.816	0.854	-0.035	-0.034	-0.625	1.605	1.552	-0.604	-0.781	-0.815	-0.905	-1.334	-1.1295
CAGL0E05610g	-0.1165	-0.2595	-0.165	0.459	1.1255	0.512	0.113	-0.079	-0.4975	0.1285	-0.0055	-0.625	-0.817	-0.968	0.2485	0.5765	0.295
CAGL0E05632g	0.505	0.1125	0.159	-0.174	0.24	-0.586	-0.454	-1.3545	-0.83	-0.431	-0.5925	-0.127	-0.5745	-0.431	-0.465	0.117	0.727
CAGL0E05654g	-1.5655	-1.663	-1.3675	1.2	1.289	0.9195	-0.758	-0.5605	-0.304	-0.2875	-0.5045	0.394	0.089	0.0305	0.6935	0.533	1.005
CAGL0E05676g	0.284	0.553	-0.1925	-0.8925	-0.8585	-0.8355	-0.2025	0.054	0.311	-1.179	-0.9425	0.6975	0.617	0.604	-0.154	0.217	0.0585
CAGL0E05698g	0.6505	0.465	0.364	-0.182	-0.4925	-0.2115	0.1345	0.0865	0.4745	0.1165	0.003	0.7845	0.8045	0.673	0.129	-0.1265	-0.2895
CAGL0E05720g	-0.187	-0.5035	-0.12	0.0075	-0.2285	0.078	-0.091	-0.2925	-0.123	0.3505	0.297	-0.091	-0.07	-0.1555	-0.0345	0.246	-0.033
CAGL0E05742g	0.05	0.243	-0.0755	-0.1715	-0.2205	-0.1785	0.0125	0.2185	0.346	-0.365	-0.1755	0.318	0.155	0.516	0.0255	-0.2745	-0.699
CAGL0E05764g	0.3145	0.444	0.064	-0.9095	-1.042	-0.317	0.111	0.1765	0.241	-0.7615	-0.567	0.35	0.3515	0.421	-0.337	-0.499	-1.0325
CAGL0E05786g	-0.085	-0.196	0.007	0.362	0.309	0.274	-0.2585	-0.2655	-0.1405	0.4185	1.3695	0.0675	0.0095	0.379	-0.2225	-0.4185	-0.3225
CAGL0E05808g	0.0275	0.33	-0.189	-0.244	-0.305	0.1125	-0.178	0.189	0.544	0.399	0.177	0.348	0.207	0.1965	0.667	1.2405	1.027
CAGL0E05830g	0.2335	0.149	-0.0125	-0.676	-0.5065	-0.8785	-0.4805	-0.7665	-0.4815	-0.842	-0.896	0.021	-0.0075	0.077	0.589	0.892	1.953
CAGL0E05874g	0.398	0.305	0.2015	-0.4495	-0.7385	-0.333	0.249	-0.0125	0.463	-0.3415	-0.261	0.8645	1.0065	1.13	-0.063	-0.647	-0.786
CAGL0E05896g	0.03	0.378	0.3045	0.128	0.1405	0.0165	0.143	0.63	0.1325	-0.185	0.0635	0.183	0.24	0.37	-0.1155	-0.099	0.5065
CAGL0E05918g	-0.5685	-0.555	-0.6625	0.0255	0.09	0.000999999999999997	-0.4035	-0.234	-0.2815	-0.2785	-0.3245	NA	-0.367	-0.244	-0.1245	0.0195	0.252
CAGL0E05940g	-0.2445	-0.1985	-0.1165	-0.1465	-0.103	-0.0115	0.033	0.0455	0.377	0.6185	0.3445	-0.217	-0.221	-0.185	0.1175	0.584	0.059
CAGL0E05962g	-0.169	-0.2325	-0.2215	-0.0445	0.132	-0.003	-0.0885	-0.209	0.077	-0.00699999999999999	-0.145	0.095	0.085	0.288	0.245	0.272	0.2965
CAGL0E05984g	-0.506	-0.5815	-0.335	0.2205	0.4835	0.286	-0.403	-0.3145	-0.2085	0.7885	1.034	-0.018	-0.027	0.474	-0.186	0.073	-0.0525
CAGL0E06006g	-0.516	-0.597	-0.3395	0.3295	0.69	0.6345	-0.0745	-0.3035	0.005	0.8845	0.6085	-0.204	NA	NA	0.3105	0.0605	0.2725
CAGL0E06028g	0.687	0.606	0.433	-0.2515	-0.3665	-0.232	0.484	0.2745	0.422	-0.1775	-0.2945	0.051	0.1075	0.052	0.308	0.0045	0.5515
CAGL0E06050g	-0.215	-0.012	-0.397	-0.173	-0.1185	-0.235	-0.3045	0.114	-0.041	-0.8575	-0.6765	-0.1085	5e-04	-0.1285	-0.089	-0.1045	-0.668
CAGL0E06072g	-1.2395	-1.2505	-1.0025	0.7635	1.0655	0.705	-0.442	-0.111	-0.734	0.8015	0.7975	-1.414	-1.4945	-1.479	-0.036	0.333	0.7065
CAGL0E06094g	0.219	0.117	0.116	0.157	0.142	0.2295	0.1445	0.458	0.188	0.2185	0.227	0.331	0.333	0.2195	0.2405	0.333	0.289
CAGL0E06116g	-1.0935	-1.258	-1.2425	0.694	0.9885	0.5325	0.267	0.149	0.081	0.624	0.495	-2.248	-2.384	-2.285	-0.251	-0.2265	-0.1595
CAGL0E06138g	-0.366	-0.408	-0.345	0.361	0.2465	0.622	0.21	0.0825	-0.209	1.1515	1.144	-0.816	-0.474	-0.394	-1.7625	-2.13	-2.395
CAGL0E06160g	0.113	0.1285	-0.4785	-0.7465	-0.386	-0.681	-0.038	-0.09	-0.321	-0.1775	-0.7465	0.035	-0.124	-0.253	-0.026	0.821	0.407
CAGL0E06182g	-0.3135	-0.424	-0.124	-0.142	-0.4485	-0.431	0.0205	0.299	-0.3855	0.554	0.521	0.0945	-0.1685	-0.135	0.2935	0.7725	0.746
CAGL0E06204g	-0.4085	0.14	-0.233	0.5595	0.6325	0.4755	-0.306	0.029	0.038	0.058	0.5625	0.0275	0.0125	-0.0235	0.0175	-0.138	-0.4855
CAGL0E06226g	-0.2685	-0.1965	-0.417	-0.0155	0.312	-0.1845	-0.409	-0.487	-0.6045	-0.023	-0.1485	0.2015	0.176	0.1245	0.068	0.1155	-0.1985
CAGL0E06248g	-0.073	-0.097	-0.077	-0.0765	-0.311	-0.24	-0.1765	-0.093	-0.3195	0.0915	0.335	0.0485	0.055	0.0845	-0.055	-0.4095	-0.364
CAGL0E06270g	0.143	0.1215	0.2555	-0.359	-0.466	-0.264	0.1375	-0.0825	0.143	-0.251	-0.3715	0.605	0.4965	0.4415	0.2395	-0.1	0.5065
CAGL0E06292g	0.0785	0.259	0.266	-0.023	-0.142	-0.0885	0.327	0.867	0.693	0.1525	0.1945	-0.07	0.154	NA	0.176	0.1445	0.0275
CAGL0E06314g	0.614	0.436	0.3495	-0.8325	-0.8275	-0.778	-0.033	-0.938	0.7925	-1.1095	-1.0745	0.7945	1.046	0.8165	0.7265	0.146	0.0835
CAGL0E06336g	0.3985	0.481	0.4505	-0.0645	-0.1615	0.1245	0.3535	0.436	0.432	-0.586	-0.402	0.274	0.2925	0.1125	0.2275	0.2675	0.588
CAGL0E06358g	0.225	-0.0345	0.3575	0.0185	0.511	0.3295	0.4315	0.2195	0.1825	0.874	0.7225	0.0105	-0.029	-0.138	0.335	1.52	0.363
CAGL0E06380g	-0.9935	-0.8945	-0.8335	0.856	1.2275	0.65	-0.0795	-0.0175	0.011	0.2065	0.4365	-0.652	-0.6755	-0.6415	0.0965	0.1225	0.0995
CAGL0E06402g	-0.472	-0.1895	-0.2555	0.3365	0.4895	0.447	0.103	0.0205	0.2775	-0.281	-0.299	-0.0065	-0.0875	-0.059	0.236	0.3965	0.0905
CAGL0E06424g	-1.6655	-1.4425	-1.545	0.312	0.3025	-0.0575	-1.898	-2.1055	-1.3355	-0.8135	-0.6955	-0.232	-0.271	-0.218	0.0815	-0.681	-0.6215
CAGL0E06446g	0.0535	0.0345	0.023	0.13	0.173	0.214	-0.1075	-0.139	-0.0315	0.3485	0.323	0.0485	-0.037	0.052	-0.172	-0.4915	-0.442
CAGL0E06468g	-0.1495	0.1015	-0.1615	0.0325	0.229	-0.0425	-0.379	-0.0875	-0.1405	-0.184	-0.01	-0.019	-0.119	0.143	-0.131	-0.051	-0.05
CAGL0E06490g	0.1765	0.1115	-0.0225	-0.138	0.0405	-0.094	-0.189	-0.186	0.008	0.0625	-0.293	-0.0425	-0.0335	-0.0245	0.15	0.2855	-0.0025
CAGL0E06512g	-0.791	-0.5075	-0.76	0.5515	0.782	0.06	-0.6195	-0.3875	-0.6065	-0.2395	0.23	-0.27	-0.382	-0.593	-0.1175	-0.228	-0.766
CAGL0E06534g	0.536	0.6075	0.039	-0.8865	-0.642	-0.6965	0.2535	0.2105	0.043	-0.445	-0.488	0.531	0.57	0.456	0.0015	0.28	-0.0945
CAGL0E06556g	0.342	0.2355	-0.077	-0.4635	-0.4045	-0.514	0.063	-0.139	0.2375	-0.022	-0.017	NA	0.132	-0.027	0.5445	0.2265	0.346
CAGL0E06600g	-0.5485	-0.509	-0.4705	-0.167	-0.1195	-0.145	-0.1615	0.3925	0.084	0.879	0.473	NA	-0.392	-0.451	-0.1425	-0.2245	0.0525
CAGL0E06644g	0.9715	0.8055	0.558	-0.422	-0.433	-0.6005	0.5475	0.2845	0.605	-0.3765	-0.402	0.117	0.309	0.225	-0.532	-0.6015	-0.4385
CAGL0E06666g	-1.469	-1.574	-1.4815	-0.3835	-0.3115	-0.4805	-0.977	-1.0745	-1.391	0.39	0.3215	-1.364	-1.465	-1.2375	-1.0795	-1.0875	-0.9125
CAGL0E06688g	-0.719	-0.866	-0.9935	0.3305	0.351	0.3685	0.015	-0.3485	-0.347	-0.1105	-0.0615	NA	-0.962	-0.767	-0.543	-0.8	-0.788
CAGL0F00187g	-1.3255	-1.069	-0.7785	1.2555	1.527	1.0965	-0.649	-0.2125	-0.5145	1.4345	1.689	-2.935	-2.9075	-2.9645	-1.551	-1.456	-1.479
CAGL0F00209g	-5.155	-4.8435	-4.757	-3.0085	-4.2065	-3.755	-4.744	-4.1375	-5.116	-4.637	-4.01	-2.395	-3.011	-2.721	-3.2015	-3.182	-2.7775
CAGL0F00231g	-0.869	-0.2465	-1.7135	-1.925	-1.6775	-2.2	-1.8835	-1.795	-0.6175	-3.4115	-3.159	-0.13	-0.3035	-0.397	0.243	0.312	0.1785
CAGL0F00253g	0.52	0.5325	0.477	-0.617	-0.2555	-0.712	0.284	0.407	0.1175	0.0665	-0.0185	0.832	0.936	0.976	0.1075	0.146	-0.228
CAGL0F00275g	0.1015	0.024	0.2045	-0.0165	-0.0075	0.228	0.1485	-0.479	0.195	0.3265	0.515	0.517	0.631	0.634	0.611	-0.0885	0.278
CAGL0F00297g	0.094	0.3575	-0.119	-0.679	-0.542	-0.39	-0.1365	0.071	-0.2425	-0.585	-0.758	-0.2305	-0.26	-0.442	-0.2795	-0.0705	0.1185
CAGL0F00319g	0.353	0.1	0.311	0.083	-0.0115	0.1505	0.32	-0.005	0.06	0.859	0.902	0.118	0.2435	0.1075	0.135	0.081	0.455
CAGL0F00341g	-0.2195	-0.114	-0.229	-0.005	-0.078	0.1705	-0.0765	0.035	-0.037	0.334	0.4985	-0.003	0.1855	0.025	0	-0.377	-0.11
CAGL0F00363g	0.227	0.583	0.5915	0.1355	0.0825	0.142	-0.067	-0.061	-0.228	-1.484	-1.141	0.5205	0.383	0.367	0.504	0.4645	0.5965
CAGL0F00407g	0.901	1.295	0.725	-1.717	-1.983	-1.667	0.407	0.7685	1.133	-1.9405	-1.7665	0.712	0.8025	0.837	-0.378	0.176	-0.322
CAGL0F00429g	0.6725	0.441	0.7115	-0.346	-0.571	-0.032	0.522	0.356	0.2145	-0.317	-0.286	0.496	0.501	0.4975	-0.703	-0.897	-0.9245
CAGL0F00451g	-0.0315	0.1135	-0.092	-0.3745	-0.301	-0.245	-0.0935	-0.006	-0.014	-0.276	-0.1375	-5e-04	0.043	0.021	0.0595	0.097	0.0245
CAGL0F00473g	0.1275	-0.0485	-0.143	-0.307	-0.55	-0.377	0.0805	-0.243	0.245	0.2145	0.012	0.181	0.2725	0.064	0.076	-0.047	0.248
CAGL0F00495g	-0.1675	-0.0955	-0.2045	0.188	0.551	0.179	-0.112	-0.0605	-0.0685	0.3685	0.3865	0.023	0.0485	-0.0505	-0.095	-0.12	-0.343
