log2.YPGlu30.Ref._YPGlu30.C.1	log2.YPGlu30.Ref._YPGlu30.C.2	log2.YPGlu30.Ref._YPGlu30.C.3	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.1	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.2	log2.YPGluBPS30.Ref._YPGlu.BPS30.C.3	log2.YPGlu37.Ref._YPGlu37.C.1	log2.YPGlu37.Ref._YPGlu37.C.2	log2.YPGlu37.Ref._YPGlu37.C.3	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.1	log2.WT.Glu.BPS.37.Ref._WT.Glu.BPS.37.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.1	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.2	log2.WT.Glu.Fe.30.Ref._WT.Glu.Fe.30.3	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.1	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.2	log2.WT.Glu.Fe.37.Ref._WT.Glu.Fe.37.Fe.3
CAGL0A00847g	0.24	0.194	0.0445	-0.656	-0.704	-0.713	0.0085	-0.061	0.1045	-0.434	-0.159	0.5085	0.785	0.554	0.256	0.162	0.257
CAGL0A00869g	-0.154	-0.19	-0.4555	-0.1065	0.147	0.13	-0.138	0.134	0.118	0.033	0.38	0.224	NA	0.2595	0.314	0.3875	0.408
CAGL0A00891g	0.15	-0.008	0.32	0.0465	-0.0955	0.143	0.1025	0.1075	-0.3095	0.028	0.2895	-0.0625	-0.1465	-0.1345	-0.231	0.064	0.3505
CAGL0A00913g	-0.1945	0.1445	0.017	0.1505	0.046	0.1835	-0.177	0.333	0.2055	0.0205	0.176	0.1715	0.141	0.2045	-0.1705	-0.1835	-0.3465
CAGL0A00935g	0.5035	0.4095	0.0295	-0.395	-0.0705	-0.1705	-0.1815	-0.029	-0.2955	0.4415	0.131	0.1965	0.2885	0.101	-0.48	-0.408	-0.418
CAGL0A00957g	0.1995	-0.1135	0.0505	0.1485	0.464	0.271	-0.1085	0.002	-0.0055	0.306	0.0455	0.072	0.053	-0.2325	0.234	0.504	0.668
CAGL0A00979g	0.563	0.361	0.411	-1.535	-1.4715	-0.993	0.655	0.3945	0.5115	-0.7395	-0.9705	0.2235	0.452	0.109	-0.2455	0.024	-0.425
CAGL0A01001g	0.13	-0.089	0.132	-0.2245	-0.389	-0.136	0.383	0.1045	-0.224	-0.9105	-0.827	-0.069	-0.212	-0.066	-0.8235	-0.996	-0.714
CAGL0A01023g	0.0725	-0.064	-0.2735	-0.4295	-0.469	-0.249	0.1575	-0.0395	0.237	-0.267	-0.536	0.0575	-0.065	-0.079	0.243	0.556	0.4035
CAGL0A01045g	-0.3715	-0.285	-0.2725	-0.176	-0.334	-0.453	-0.4195	-0.174	-0.806	-0.659	-0.6125	-0.453	-0.3955	-0.159	-0.6225	-0.384	-0.4715
CAGL0A01067g	0.509	0.5535	0.551	-1.278	-1.453	-0.981	0.476	0.5795	0.3385	-0.9075	-0.6205	0.484	0.5345	0.621	0.101	0.409	0.1905
CAGL0A01089g	-0.8365	-0.66	-0.204	1.7365	2.0645	0.8275	-0.907	-0.0785	-0.889	2.0745	2.5255	-1.091	-1.3115	-1.15	-1.164	-0.826	-1.0865
CAGL0A01111g	-0.7975	-0.949	-0.783	0.2505	-0.3355	-0.203	-0.978	-1.2065	-1.3635	-0.373	-0.1845	NA	-0.6405	-0.3835	-0.1755	-0.6865	-0.104
CAGL0A01133g	-0.4205	-0.389	-0.3445	-0.204	-0.216	-0.342	-0.468	-0.196	-0.286	-0.452	-0.12	0.0495	-0.0435	0.006	-0.118	-0.216	-0.2105
CAGL0A01155g	-0.1775	-0.182	-0.0945	0.039	-0.186	-0.1355	-0.262	-0.074	0.059	-0.289	-0.1715	-0.1215	-0.086	-0.077	-0.1855	-0.2945	-0.3065
CAGL0A01177g	-0.254	-0.198	-0.3505	-0.209	-0.1315	-0.119	-0.264	0.127	-0.264	0.168	-0.02	-0.26	-0.2135	-0.152	-0.089	0.3165	0.003
CAGL0A01193g	0.094	-0.4895	0.342	0.069	-0.245	0.2045	0.026	-0.439	-0.223	0.256	0.0735	-0.167	-0.119	0.9105	-0.027	-0.383	0.087
CAGL0A01199g	0.569	0.254	0.553	1.2085	0.9185	0.4875	-0.5595	-1.2005	-1.608	0.719	0.684	-0.763	-1.156	-0.744	-1.208	-1.2605	-1.156
CAGL0A01221g	1.2135	0.806	0.7845	-0.507	-0.5745	-0.468	0.935	0.515	1.0605	-2.2685	-2.699	NA	0.416	0.4485	0.4365	1.0145	1.7475
CAGL0A01243g	-1.143	-1.1025	-1.123	-0.063	-0.132	-0.045	-1.067	-0.924	-0.8195	0.0495	-0.028	-0.2775	-0.554	-0.344	2.2165	2.937	3.0305
