id	group	colLow	colHigh	shape	size
CAGL0I04328g	Others	red	firebrick	circle	9
CAGL0I04334g	F2	black	darkgreen	circle	3
CAGL0I04444g	F1	black	firebrick	circle	3
CAGL0I04686g	F4	black	firebrick	circle	3
CAGL0I04730g	F2	darkgreen	darkgreen	circle	9
CAGL0I04752g	F1	chartreuse	darkgreen	circle	9
CAGL0I04906g	F2	black	firebrick	circle	3
CAGL0I04972g	F1	firebrick	black	circle	3
CAGL0I04994g	F5	red	black	circle	3
CAGL0I05060g	F2	firebrick	darkgreen	square	9
CAGL0I05390g	F2	red	black	circle	3
CAGL0I05610g	Others	red	black	circle	3
CAGL0I05874g	Others	red	black	circle	3
CAGL0I05934g	F3	firebrick	firebrick	circle	9
CAGL0I06006g	F1	darkgreen	darkgreen	circle	9
CAGL0I06050g	F1	firebrick	red	circle	9
CAGL0I06182g	Others	black	firebrick	circle	3
CAGL0I06644g	Others	darkgreen	darkgreen	circle	9
CAGL0I06743g	F4	red	chartreuse	square	9
CAGL0I06831g	F3	chartreuse	black	circle	3
CAGL0I07249g	F2	white	firebrick	circle	3
CAGL0I07491g	Others	red	darkgreen	square	9
CAGL0I07843g	F3	black	firebrick	circle	3
CAGL0I07887g	F1	firebrick	firebrick	circle	9
CAGL0I07969g	F4	chartreuse	firebrick	square	9
CAGL0I08305g	F1	firebrick	firebrick	circle	9
CAGL0I08503g	F5	black	firebrick	circle	3
CAGL0I08547g	Others	chartreuse	darkgreen	circle	9
CAGL0I08987g	F1	chartreuse	black	circle	3
CAGL0I09009g	F1	black	firebrick	circle	3
CAGL0I09086g	F4	red	black	circle	3
CAGL0I09284g	F1	black	red	circle	3
CAGL0I09328g	F3	black	darkgreen	circle	3
CAGL0I09504g	F2	firebrick	black	circle	3
CAGL0I09702g	F4	firebrick	red	circle	9
CAGL0I09724g	F4	firebrick	black	circle	3
CAGL0I09790g	F1	chartreuse	black	circle	3
CAGL0I10010g	F4	black	firebrick	circle	3
CAGL0I10147g	Others	darkgreen	red	square	9
CAGL0I10384g	F4	white	darkgreen	circle	3
CAGL0I10406g	F1	black	firebrick	circle	3
CAGL0I10472g	F2	black	firebrick	circle	3
CAGL0I10670g	F1	darkgreen	darkgreen	circle	9
CAGL0I10747g	F4	black	darkgreen	circle	3
CAGL0I10791g	F1	chartreuse	black	circle	3
CAGL0J00363g	F4	black	chartreuse	circle	3
CAGL0J00429g	F3	darkgreen	black	circle	3
CAGL0J00451g	F3	red	darkgreen	square	9
CAGL0J00473g	F1	chartreuse	black	circle	3
CAGL0J00649g	F5	darkgreen	darkgreen	circle	9
CAGL0J00847g	F3	chartreuse	red	square	9
CAGL0J01045g	F1	black	firebrick	circle	3
CAGL0J01441g	F3	black	darkgreen	circle	3
CAGL0J01848g	F1	black	darkgreen	circle	3
CAGL0J02112g	F5	firebrick	black	circle	3
CAGL0J02530g	Others	firebrick	black	circle	3
CAGL0J02904g	F3	firebrick	black	circle	3
CAGL0J03080g	F3	firebrick	firebrick	circle	9
CAGL0J03212g	F3	firebrick	darkgreen	square	9
CAGL0J03234g	F1	darkgreen	darkgreen	circle	9
CAGL0J03762g	F1	firebrick	firebrick	circle	9
CAGL0J03806g	F2	darkgreen	black	circle	3
CAGL0J03894g	F3	chartreuse	black	circle	3
CAGL0J03916g	F1	red	darkgreen	square	9
CAGL0J04004g	Others	black	darkgreen	circle	3
CAGL0J04070g	F1	black	darkgreen	circle	3
CAGL0J04202g	Others	red	firebrick	circle	9
CAGL0J04224g	Others	black	firebrick	circle	3
CAGL0J04268g	F5	firebrick	red	circle	9
CAGL0J04290g	F2	red	black	circle	3
CAGL0J04466g	Others	chartreuse	firebrick	square	9
CAGL0J04576g	F2	chartreuse	darkgreen	circle	9
CAGL0J04950g	F1	black	darkgreen	circle	3
CAGL0J05082g	F1	red	firebrick	circle	9
CAGL0J05258g	F1	black	firebrick	circle	3
CAGL0J05390g	Others	darkgreen	firebrick	square	9
CAGL0J05478g	F1	black	firebrick	circle	3
CAGL0J05852g	F3	black	firebrick	circle	3
CAGL0J05984g	F1	chartreuse	black	circle	3
CAGL0J06374g	F2	chartreuse	darkgreen	circle	9
CAGL0J06380g	Others	black	firebrick	circle	3
CAGL0J06666g	Others	black	firebrick	circle	3
CAGL0J07062g	F2	chartreuse	black	circle	3
CAGL0J07568g	Others	red	black	circle	3
CAGL0J07678g	F2	black	darkgreen	circle	3
CAGL0J07766g	F1	chartreuse	darkgreen	circle	9
CAGL0J07980g	F4	red	black	circle	3
CAGL0J08547g	F1	black	firebrick	circle	3
CAGL0J08679g	F1	chartreuse	black	circle	3
CAGL0J09240g	F1	darkgreen	red	square	9
CAGL0J09262g	Others	firebrick	black	circle	3
CAGL0J09328g	F2	black	firebrick	circle	3
CAGL0J09614g	F1	darkgreen	black	circle	3
CAGL0J09724g	F1	black	firebrick	circle	3
CAGL0J09812g	F3	firebrick	black	circle	3
CAGL0J09944g	F4	black	red	circle	3
CAGL0J10010g	F1	chartreuse	black	circle	3
CAGL0J10164g	F1	chartreuse	darkgreen	circle	9
CAGL0J10362g	Others	chartreuse	darkgreen	circle	9
CAGL0J10824g	F1	black	darkgreen	circle	3
CAGL0J10846g	F2	black	firebrick	circle	3
CAGL0J10978g	F2	black	firebrick	circle	3
CAGL0J11132g	F2	black	firebrick	circle	3
CAGL0J11682g	F3	chartreuse	black	circle	3
CAGL0J11792g	F2	black	firebrick	circle	3
CAGL0J11858g	F1	black	firebrick	circle	3
CAGL0K00110g	Others	firebrick	firebrick	circle	9
CAGL0K00715g	F4	chartreuse	firebrick	square	9
CAGL0K00847g	F3	black	firebrick	circle	3
CAGL0K00869g	F2	black	red	circle	3
CAGL0K01177g	Others	black	darkgreen	circle	3
CAGL0K01749g	F4	black	red	circle	3
CAGL0K01771g	Others	firebrick	darkgreen	square	9
CAGL0K01859g	F2	chartreuse	darkgreen	circle	9
CAGL0K02233g	F1	darkgreen	black	circle	3
CAGL0K02409g	Others	darkgreen	firebrick	square	9
CAGL0K02629g	F3	red	firebrick	circle	9
CAGL0K02893g	F3	chartreuse	firebrick	square	9
CAGL0K03091g	Others	black	chartreuse	circle	3
CAGL0K03421g	F3	firebrick	darkgreen	square	9
CAGL0K03459g	Others	red	red	circle	9
CAGL0K04103g	F1	black	darkgreen	circle	3
CAGL0K04279g	F1	chartreuse	chartreuse	circle	9
CAGL0K04301g	F1	red	black	circle	3
CAGL0K04367g	F4	firebrick	black	circle	3
CAGL0K04499g	F1	black	firebrick	circle	3
CAGL0K04719g	Others	black	firebrick	circle	3
CAGL0K04851g	F4	black	firebrick	circle	3
CAGL0K05137g	F3	red	black	circle	3
CAGL0K05247g	F2	black	firebrick	circle	3
CAGL0K05357g	F1	firebrick	firebrick	circle	9
CAGL0K05687g	F3	firebrick	firebrick	circle	9
CAGL0K05753g	F4	black	firebrick	circle	3
CAGL0K05813g	F3	red	black	circle	3
CAGL0K06061g	F2	chartreuse	darkgreen	circle	9
CAGL0K06105g	Others	black	red	circle	3
CAGL0K06259g	F3	firebrick	chartreuse	square	9
CAGL0K06567g	F1	chartreuse	darkgreen	circle	9
CAGL0K06633g	Others	black	chartreuse	circle	3
CAGL0K06677g	F5	firebrick	red	circle	9
CAGL0K07111g	F2	black	firebrick	circle	3
CAGL0K07183g	Others	black	red	circle	3
CAGL0K07205g	Others	darkgreen	darkgreen	circle	9
CAGL0K07436g	F4	black	firebrick	circle	3
CAGL0K07480g	F3	firebrick	black	circle	3
CAGL0K07546g	Others	black	red	circle	3
CAGL0K07590g	F2	black	black	circle	3
CAGL0K07678g	Others	red	black	circle	3
CAGL0K08184g	F3	chartreuse	black	circle	3
CAGL0K08206g	F4	black	firebrick	circle	3
CAGL0K08338g	Others	darkgreen	firebrick	square	9
CAGL0K08536g	F1	red	black	circle	3
CAGL0K08668g	F2	firebrick	firebrick	circle	9
CAGL0K08756g	F2	red	darkgreen	square	9
CAGL0K09042g	Others	darkgreen	darkgreen	circle	9
CAGL0K09372g	F2	black	darkgreen	circle	3
CAGL0K09702g	F3	red	black	circle	3
CAGL0K09724g	F2	black	darkgreen	circle	3
CAGL0K09988g	F4	black	darkgreen	circle	3
CAGL0K10340g	F1	black	firebrick	circle	3
CAGL0K10362g	F4	darkgreen	black	circle	3
CAGL0K10428g	F1	firebrick	black	circle	3
CAGL0K10736g	F3	red	black	circle	3
CAGL0K10780g	F3	darkgreen	black	circle	3
CAGL0K10824g	Others	firebrick	darkgreen	square	9
CAGL0K10868g	F3	chartreuse	chartreuse	circle	9
CAGL0K11231g	Others	black	darkgreen	circle	3
CAGL0K11616g	F4	firebrick	white	circle	3
CAGL0K11858g	F3	firebrick	black	circle	3
CAGL0K12100g	F3	chartreuse	black	circle	3
CAGL0K12254g	F2	red	black	circle	3
CAGL0K12518g	F1	black	firebrick	circle	3
CAGL0K12980g	Others	black	darkgreen	circle	3
CAGL0L00429g	F3	firebrick	red	circle	9
CAGL0L00473g	Others	red	black	circle	3
CAGL0L00649g	F5	firebrick	firebrick	circle	9
CAGL0L00759g	F1	darkgreen	red	square	9
CAGL0L00803g	F2	firebrick	black	circle	3
CAGL0L00957g	Others	firebrick	black	circle	3
CAGL0L00979g	F1	darkgreen	black	circle	3
CAGL0L01089g	F3	chartreuse	black	circle	3
CAGL0L01177g	F3	red	black	circle	3
CAGL0L01551g	Others	darkgreen	chartreuse	circle	9
CAGL0L01771g	F2	red	darkgreen	square	9
CAGL0L02079g	F4	chartreuse	black	circle	3
CAGL0L02167g	F3	firebrick	red	circle	9
CAGL0L02321g	F5	black	firebrick	circle	3
CAGL0L02937g	F1	chartreuse	black	circle	3
CAGL0L03135g	F2	red	black	circle	3
CAGL0L03267g	F4	red	firebrick	circle	9
CAGL0L03377g	F2	black	firebrick	circle	3
CAGL0L03696g	Others	black	chartreuse	circle	3
CAGL0L03806g	F1	darkgreen	black	circle	3
CAGL0L03828g	F3	chartreuse	chartreuse	circle	9
CAGL0L03846g	F2	chartreuse	black	circle	3
CAGL0L03982g	F1	black	red	circle	3
CAGL0L04070g	F1	black	firebrick	circle	3
CAGL0L04510g	F2	chartreuse	darkgreen	circle	9
CAGL0L04598g	F2	firebrick	black	circle	3
CAGL0L04664g	F1	chartreuse	black	circle	3
CAGL0L05236g	F3	darkgreen	firebrick	square	9
CAGL0L05258g	F3	red	darkgreen	square	9
