type,DOWN (30° and 37°),DOWN (30° or 37°),NO,UP (30° and 37°),UP (30° or 37°)
iHKG - Switch,0,0,1,0,1
iHKG - Type I,1,9,0,1,1
iHKG - Type II,1,10,0,1,7
Other iron responsive genes,1,15,35,3,19
