"Name"	"Conditions"	"logFC"	"hovertext"
"CAGL0A00737g"	"T10"	NA	"CAGL0A00737g - NA"
"CAGL0A00979g"	"T10"	0.775	"CAGL0A00979g - 0.775"
"CAGL0A01067g"	"T10"	0.539	"CAGL0A01067g - 0.539"
"CAGL0A01089g"	"T10"	NA	"CAGL0A01089g - NA"
"CAGL0A01199g"	"T10"	NA	"CAGL0A01199g - NA"
"CAGL0A01221g"	"T10"	-1.099	"CAGL0A01221g - -1.099"
"CAGL0A01243g"	"T10"	NA	"CAGL0A01243g - NA"
"CAGL0A01650g"	"T10"	NA	"CAGL0A01650g - NA"
"CAGL0A01716g"	"T10"	-0.817	"CAGL0A01716g - -0.817"
"CAGL0A01782g"	"T10"	NA	"CAGL0A01782g - NA"
"CAGL0A01826g"	"T10"	NA	"CAGL0A01826g - NA"
"CAGL0A02002g"	"T10"	NA	"CAGL0A02002g - NA"
"CAGL0A02112g"	"T10"	-0.609	"CAGL0A02112g - -0.609"
"CAGL0A02145g"	"T10"	NA	"CAGL0A02145g - NA"
"CAGL0A02211g"	"T10"	NA	"CAGL0A02211g - NA"
"CAGL0A02233g"	"T10"	NA	"CAGL0A02233g - NA"
"CAGL0A02277g"	"T10"	NA	"CAGL0A02277g - NA"
"CAGL0A02299g"	"T10"	-0.361	"CAGL0A02299g - -0.361"
"CAGL0A02816g"	"T10"	-0.576	"CAGL0A02816g - -0.576"
"CAGL0A03102g"	"T10"	0.289	"CAGL0A03102g - 0.289"
"CAGL0A03366g"	"T10"	-0.628	"CAGL0A03366g - -0.628"
"CAGL0A03476g"	"T10"	NA	"CAGL0A03476g - NA"
"CAGL0A03542g"	"T10"	0.035	"CAGL0A03542g - 0.035"
"CAGL0A03740g"	"T10"	NA	"CAGL0A03740g - NA"
"CAGL0A03905g"	"T10"	NA	"CAGL0A03905g - NA"
"CAGL0A04015g"	"T10"	0.06	"CAGL0A04015g - 0.06"
"CAGL0A04499g"	"T10"	NA	"CAGL0A04499g - NA"
"CAGL0A04653g"	"T10"	NA	"CAGL0A04653g - NA"
"CAGL0A04829g"	"T10"	0.12	"CAGL0A04829g - 0.12"
"CAGL0B00286g"	"T10"	NA	"CAGL0B00286g - NA"
"CAGL0B00594g"	"T10"	NA	"CAGL0B00594g - NA"
"CAGL0B00792g"	"T10"	-1.059	"CAGL0B00792g - -1.059"
"CAGL0B00814g"	"T10"	0.234	"CAGL0B00814g - 0.234"
"CAGL0B00946g"	"T10"	-4.461	"CAGL0B00946g - -4.461"
"CAGL0B00990g"	"T10"	0.91	"CAGL0B00990g - 0.91"
"CAGL0B01012g"	"T10"	NA	"CAGL0B01012g - NA"
"CAGL0B01122g"	"T10"	-0.337	"CAGL0B01122g - -0.337"
"CAGL0B01507g"	"T10"	-0.267	"CAGL0B01507g - -0.267"
"CAGL0B01639g"	"T10"	NA	"CAGL0B01639g - NA"
"CAGL0B01727g"	"T10"	NA	"CAGL0B01727g - NA"
"CAGL0B01881g"	"T10"	-0.255	"CAGL0B01881g - -0.255"
"CAGL0B02475g"	"T10"	NA	"CAGL0B02475g - NA"
"CAGL0B02585g"	"T10"	-1.043	"CAGL0B02585g - -1.043"
"CAGL0B02717g"	"T10"	-0.229	"CAGL0B02717g - -0.229"
"CAGL0B02794g"	"T10"	0.408	"CAGL0B02794g - 0.408"
"CAGL0B02838g"	"T10"	NA	"CAGL0B02838g - NA"
"CAGL0B02860g"	"T10"	NA	"CAGL0B02860g - NA"
"CAGL0B02904g"	"T10"	NA	"CAGL0B02904g - NA"
"CAGL0B02970g"	"T10"	NA	"CAGL0B02970g - NA"
"CAGL0B03421g"	"T10"	NA	"CAGL0B03421g - NA"
"CAGL0B03619g"	"T10"	-0.429	"CAGL0B03619g - -0.429"
"CAGL0B03663g"	"T10"	NA	"CAGL0B03663g - NA"
"CAGL0B03817g"	"T10"	NA	"CAGL0B03817g - NA"
"CAGL0B03993g"	"T10"	-0.533	"CAGL0B03993g - -0.533"
"CAGL0B04213g"	"T10"	NA	"CAGL0B04213g - NA"
"CAGL0B04433g"	"T10"	NA	"CAGL0B04433g - NA"
"CAGL0B04675g"	"T10"	-0.009	"CAGL0B04675g - -0.009"
"CAGL0C00110g"	"T10"	NA	"CAGL0C00110g - NA"
"CAGL0C00275g"	"T10"	-0.095	"CAGL0C00275g - -0.095"
"CAGL0C00495g"	"T10"	-1.525	"CAGL0C00495g - -1.525"
"CAGL0C00539g"	"T10"	NA	"CAGL0C00539g - NA"
"CAGL0C00759g"	"T10"	NA	"CAGL0C00759g - NA"
"CAGL0C00968g"	"T10"	NA	"CAGL0C00968g - NA"
"CAGL0C01133g"	"T10"	NA	"CAGL0C01133g - NA"
