"Name"	"Conditions"	"logFC"	"hovertext"
"CAGL0C01287g"	"T10"	0.516	"CAGL0C01287g - 0.516"
"CAGL0C01325g"	"T10"	-0.25	"CAGL0C01325g - -0.25"
"CAGL0C01595g"	"T10"	0.141	"CAGL0C01595g - 0.141"
"CAGL0C01727g"	"T10"	NA	"CAGL0C01727g - NA"
"CAGL0C01749g"	"T10"	NA	"CAGL0C01749g - NA"
"CAGL0C01771g"	"T10"	NA	"CAGL0C01771g - NA"
"CAGL0C02035g"	"T10"	0.654	"CAGL0C02035g - 0.654"
"CAGL0C02233g"	"T10"	0.645	"CAGL0C02233g - 0.645"
"CAGL0C02365g"	"T10"	NA	"CAGL0C02365g - NA"
"CAGL0C02739g"	"T10"	0.995	"CAGL0C02739g - 0.995"
"CAGL0C03113g"	"T10"	-0.939	"CAGL0C03113g - -0.939"
"CAGL0C03267g"	"T10"	NA	"CAGL0C03267g - NA"
"CAGL0C03333g"	"T10"	NA	"CAGL0C03333g - NA"
"CAGL0C03443g"	"T10"	-0.416	"CAGL0C03443g - -0.416"
"CAGL0C03487g"	"T10"	NA	"CAGL0C03487g - NA"
"CAGL0C03608g"	"T10"	NA	"CAGL0C03608g - NA"
"CAGL0C03630g"	"T10"	0.17	"CAGL0C03630g - 0.17"
"CAGL0C03652g"	"T10"	NA	"CAGL0C03652g - NA"
"CAGL0C03850g"	"T10"	-0.313	"CAGL0C03850g - -0.313"
"CAGL0C03872g"	"T10"	NA	"CAGL0C03872g - NA"
"CAGL0C04191g"	"T10"	-0.542	"CAGL0C04191g - -0.542"
"CAGL0C04279g"	"T10"	0.532	"CAGL0C04279g - 0.532"
"CAGL0C04587g"	"T10"	-0.387	"CAGL0C04587g - -0.387"
"CAGL0C04917g"	"T10"	0.399	"CAGL0C04917g - 0.399"
"CAGL0C05027g"	"T10"	NA	"CAGL0C05027g - NA"
"CAGL0C05115g"	"T10"	-0.461	"CAGL0C05115g - -0.461"
"CAGL0C05445g"	"T10"	NA	"CAGL0C05445g - NA"
"CAGL0D00198g"	"T10"	NA	"CAGL0D00198g - NA"
"CAGL0D00264g"	"T10"	NA	"CAGL0D00264g - NA"
"CAGL0D00352g"	"T10"	0.812	"CAGL0D00352g - 0.812"
"CAGL0D00418g"	"T10"	NA	"CAGL0D00418g - NA"
"CAGL0D00528g"	"T10"	-0.053	"CAGL0D00528g - -0.053"
"CAGL0D00704g"	"T10"	NA	"CAGL0D00704g - NA"
"CAGL0D00748g"	"T10"	1.039	"CAGL0D00748g - 1.039"
"CAGL0D00770g"	"T10"	0.163	"CAGL0D00770g - 0.163"
"CAGL0D00880g"	"T10"	0.559	"CAGL0D00880g - 0.559"
"CAGL0D01265g"	"T10"	NA	"CAGL0D01265g - NA"
"CAGL0D01298g"	"T10"	-0.651	"CAGL0D01298g - -0.651"
"CAGL0D01474g"	"T10"	NA	"CAGL0D01474g - NA"
"CAGL0D01562g"	"T10"	-0.361	"CAGL0D01562g - -0.361"
"CAGL0D01958g"	"T10"	-0.102	"CAGL0D01958g - -0.102"
"CAGL0D02134g"	"T10"	NA	"CAGL0D02134g - NA"
"CAGL0D02596g"	"T10"	NA	"CAGL0D02596g - NA"
"CAGL0D02640g"	"T10"	NA	"CAGL0D02640g - NA"
"CAGL0D02662g"	"T10"	NA	"CAGL0D02662g - NA"
"CAGL0D03982g"	"T10"	0.739	"CAGL0D03982g - 0.739"
"CAGL0D04026g"	"T10"	-0.047	"CAGL0D04026g - -0.047"
"CAGL0D04356g"	"T10"	0.036	"CAGL0D04356g - 0.036"
"CAGL0D04686g"	"T10"	NA	"CAGL0D04686g - NA"
"CAGL0D04708g"	"T10"	NA	"CAGL0D04708g - NA"
"CAGL0D05060g"	"T10"	0.488	"CAGL0D05060g - 0.488"
"CAGL0D05082g"	"T10"	NA	"CAGL0D05082g - NA"
"CAGL0D05192g"	"T10"	NA	"CAGL0D05192g - NA"
"CAGL0D05280g"	"T10"	-0.153	"CAGL0D05280g - -0.153"
"CAGL0D05434g"	"T10"	NA	"CAGL0D05434g - NA"
"CAGL0D05940g"	"T10"	-1.27	"CAGL0D05940g - -1.27"
"CAGL0D06402g"	"T10"	-0.759	"CAGL0D06402g - -0.759"
"CAGL0D06424g"	"T10"	-0.166	"CAGL0D06424g - -0.166"
"CAGL0D06600g"	"T10"	NA	"CAGL0D06600g - NA"
"CAGL0E00737g"	"T10"	-0.813	"CAGL0E00737g - -0.813"
"CAGL0E00803g"	"T10"	1.515	"CAGL0E00803g - 1.515"
"CAGL0E01155g"	"T10"	-1.321	"CAGL0E01155g - -1.321"
"CAGL0E01243g"	"T10"	NA	"CAGL0E01243g - NA"
"CAGL0E01287g"	"T10"	-0.503	"CAGL0E01287g - -0.503"
"CAGL0E01705g"	"T10"	0.103	"CAGL0E01705g - 0.103"
"CAGL0E01727g"	"T10"	NA	"CAGL0E01727g - NA"
"CAGL0E01771g"	"T10"	NA	"CAGL0E01771g - NA"
"CAGL0E01793g"	"T10"	1.077	"CAGL0E01793g - 1.077"
"CAGL0E01815g"	"T10"	NA	"CAGL0E01815g - NA"
"CAGL0E01837g"	"T10"	NA	"CAGL0E01837g - NA"
"CAGL0E01881g"	"T10"	NA	"CAGL0E01881g - NA"
"CAGL0E01991g"	"T10"	-0.003	"CAGL0E01991g - -0.003"
"CAGL0E02013g"	"T10"	0.219	"CAGL0E02013g - 0.219"
"CAGL0E02255g"	"T10"	2.045	"CAGL0E02255g - 2.045"
"CAGL0E02651g"	"T10"	NA	"CAGL0E02651g - NA"
"CAGL0E03025g"	"T10"	NA	"CAGL0E03025g - NA"
"CAGL0E03289g"	"T10"	0.617	"CAGL0E03289g - 0.617"
"CAGL0E03520g"	"T10"	-1.437	"CAGL0E03520g - -1.437"
"CAGL0E03850g"	"T10"	0.124	"CAGL0E03850g - 0.124"
"CAGL0E03916g"	"T10"	NA	"CAGL0E03916g - NA"
"CAGL0E03938g"	"T10"	0.34	"CAGL0E03938g - 0.34"
"CAGL0E04092g"	"T10"	-0.385	"CAGL0E04092g - -0.385"
"CAGL0E04224g"	"T10"	NA	"CAGL0E04224g - NA"
"CAGL0E04334g"	"T10"	0.609	"CAGL0E04334g - 0.609"
"CAGL0E04510g"	"T10"	NA	"CAGL0E04510g - NA"
"CAGL0E04548g"	"T10"	NA	"CAGL0E04548g - NA"
"CAGL0E04554g"	"T10"	NA	"CAGL0E04554g - NA"
"CAGL0E04884g"	"T10"	NA	"CAGL0E04884g - NA"
"CAGL0E04994g"	"T10"	0.569	"CAGL0E04994g - 0.569"
"CAGL0E05148g"	"T10"	0.613	"CAGL0E05148g - 0.613"
"CAGL0E05170g"	"T10"	NA	"CAGL0E05170g - NA"
"CAGL0E05346g"	"T10"	0.232	"CAGL0E05346g - 0.232"
"CAGL0E05456g"	"T10"	NA	"CAGL0E05456g - NA"
"CAGL0E05500g"	"T10"	-0.551	"CAGL0E05500g - -0.551"
"CAGL0E05588g"	"T10"	NA	"CAGL0E05588g - NA"
"CAGL0E05654g"	"T10"	NA	"CAGL0E05654g - NA"
"CAGL0E05830g"	"T10"	1.093	"CAGL0E05830g - 1.093"
"CAGL0E06072g"	"T10"	NA	"CAGL0E06072g - NA"
"CAGL0E06116g"	"T10"	NA	"CAGL0E06116g - NA"
"CAGL0E06138g"	"T10"	-0.021	"CAGL0E06138g - -0.021"
"CAGL0E06380g"	"T10"	NA	"CAGL0E06380g - NA"
"CAGL0E06424g"	"T10"	-0.788	"CAGL0E06424g - -0.788"
"CAGL0F00187g"	"T10"	NA	"CAGL0F00187g - NA"
"CAGL0F00209g"	"T10"	NA	"CAGL0F00209g - NA"
"CAGL0F00231g"	"T10"	-0.415	"CAGL0F00231g - -0.415"
"CAGL0F00407g"	"T10"	-0.058	"CAGL0F00407g - -0.058"
"CAGL0F00429g"	"T10"	-2.022	"CAGL0F00429g - -2.022"
"CAGL0F00605g"	"T10"	0.451	"CAGL0F00605g - 0.451"
"CAGL0F00649g"	"T10"	NA	"CAGL0F00649g - NA"
"CAGL0F00715g"	"T10"	-2.326	"CAGL0F00715g - -2.326"
"CAGL0F01045g"	"T10"	-0.218	"CAGL0F01045g - -0.218"
"CAGL0F01265g"	"T10"	NA	"CAGL0F01265g - NA"
"CAGL0F01419g"	"T10"	NA	"CAGL0F01419g - NA"
"CAGL0F01463g"	"T10"	0.307	"CAGL0F01463g - 0.307"
"CAGL0F01485g"	"T10"	NA	"CAGL0F01485g - NA"
"CAGL0F01749g"	"T10"	-0.311	"CAGL0F01749g - -0.311"
"CAGL0F02101g"	"T10"	NA	"CAGL0F02101g - NA"
"CAGL0F02145g"	"T10"	NA	"CAGL0F02145g - NA"
"CAGL0F02233g"	"T10"	1.533	"CAGL0F02233g - 1.533"
"CAGL0F02431g"	"T10"	-0.609	"CAGL0F02431g - -0.609"
"CAGL0F02513g"	"T10"	NA	"CAGL0F02513g - NA"
"CAGL0F02563g"	"T10"	0.659	"CAGL0F02563g - 0.659"
"CAGL0F03399g"	"T10"	-0.081	"CAGL0F03399g - -0.081"
"CAGL0F03553g"	"T10"	0.879	"CAGL0F03553g - 0.879"
"CAGL0F03861g"	"T10"	-0.336	"CAGL0F03861g - -0.336"
"CAGL0F03927g"	"T10"	-0.332	"CAGL0F03927g - -0.332"
"CAGL0F03993g"	"T10"	-0.101	"CAGL0F03993g - -0.101"
"CAGL0F04191g"	"T10"	NA	"CAGL0F04191g - NA"
"CAGL0F04213g"	"T10"	0.138	"CAGL0F04213g - 0.138"
"CAGL0F04411g"	"T10"	NA	"CAGL0F04411g - NA"
"CAGL0F04565g"	"T10"	-1.127	"CAGL0F04565g - -1.127"
"CAGL0F04631g"	"T10"	NA	"CAGL0F04631g - NA"
"CAGL0F04719g"	"T10"	0.058	"CAGL0F04719g - 0.058"
"CAGL0F04807g"	"T10"	-0.293	"CAGL0F04807g - -0.293"
"CAGL0F04895g"	"T10"	0.644	"CAGL0F04895g - 0.644"
"CAGL0F04917g"	"T10"	NA	"CAGL0F04917g - NA"
"CAGL0F05071g"	"T10"	NA	"CAGL0F05071g - NA"
"CAGL0F05093g"	"T10"	NA	"CAGL0F05093g - NA"
"CAGL0F05687g"	"T10"	NA	"CAGL0F05687g - NA"
"CAGL0F05709g"	"T10"	NA	"CAGL0F05709g - NA"
"CAGL0F05863g"	"T10"	0.969	"CAGL0F05863g - 0.969"
"CAGL0F06413g"	"T10"	NA	"CAGL0F06413g - NA"
"CAGL0F06501g"	"T10"	-0.021	"CAGL0F06501g - -0.021"
"CAGL0F06677g"	"T10"	NA	"CAGL0F06677g - NA"
"CAGL0F07029g"	"T10"	-0.551	"CAGL0F07029g - -0.551"
"CAGL0F07117g"	"T10"	NA	"CAGL0F07117g - NA"
"CAGL0F07513g"	"T10"	NA	"CAGL0F07513g - NA"
"CAGL0F07865g"	"T10"	NA	"CAGL0F07865g - NA"
"CAGL0F07953g"	"T10"	NA	"CAGL0F07953g - NA"
"CAGL0F08019g"	"T10"	NA	"CAGL0F08019g - NA"
"CAGL0F08085g"	"T10"	NA	"CAGL0F08085g - NA"
"CAGL0F08195g"	"T10"	NA	"CAGL0F08195g - NA"
"CAGL0F08217g"	"T10"	NA	"CAGL0F08217g - NA"
"CAGL0F08261g"	"T10"	0.161	"CAGL0F08261g - 0.161"
"CAGL0F08745g"	"T10"	NA	"CAGL0F08745g - NA"
"CAGL0G01122g"	"T10"	NA	"CAGL0G01122g - NA"
"CAGL0G01166g"	"T10"	0.466	"CAGL0G01166g - 0.466"
"CAGL0G01540g"	"T10"	-0.195	"CAGL0G01540g - -0.195"
"CAGL0G01826g"	"T10"	0.547	"CAGL0G01826g - 0.547"
"CAGL0G02255g"	"T10"	NA	"CAGL0G02255g - NA"
"CAGL0G02409g"	"T10"	-1.686	"CAGL0G02409g - -1.686"
"CAGL0G02563g"	"T10"	NA	"CAGL0G02563g - NA"
"CAGL0G02585g"	"T10"	-0.154	"CAGL0G02585g - -0.154"
"CAGL0G02849g"	"T10"	0.22	"CAGL0G02849g - 0.22"
"CAGL0G02937g"	"T10"	NA	"CAGL0G02937g - NA"
"CAGL0G03289g"	"T10"	0.462	"CAGL0G03289g - 0.462"
"CAGL0G03575g"	"T10"	-0.332	"CAGL0G03575g - -0.332"
"CAGL0G03883g"	"T10"	0.915	"CAGL0G03883g - 0.915"
"CAGL0G03905g"	"T10"	NA	"CAGL0G03905g - NA"
"CAGL0G04433g"	"T10"	NA	"CAGL0G04433g - NA"
"CAGL0G04499g"	"T10"	NA	"CAGL0G04499g - NA"
"CAGL0G04763g"	"T10"	NA	"CAGL0G04763g - NA"
"CAGL0G05566g"	"T10"	-0.196	"CAGL0G05566g - -0.196"
"CAGL0G05698g"	"T10"	NA	"CAGL0G05698g - NA"
"CAGL0G05764g"	"T10"	NA	"CAGL0G05764g - NA"
"CAGL0G05830g"	"T10"	NA	"CAGL0G05830g - NA"
"CAGL0G05874g"	"T10"	-1.843	"CAGL0G05874g - -1.843"
"CAGL0G05962g"	"T10"	NA	"CAGL0G05962g - NA"
"CAGL0G06006g"	"T10"	NA	"CAGL0G06006g - NA"
"CAGL0G06050g"	"T10"	NA	"CAGL0G06050g - NA"
"CAGL0G06248g"	"T10"	0.712	"CAGL0G06248g - 0.712"
"CAGL0G06402g"	"T10"	-0.926	"CAGL0G06402g - -0.926"
"CAGL0G06468g"	"T10"	NA	"CAGL0G06468g - NA"
"CAGL0G06490g"	"T10"	-0.088	"CAGL0G06490g - -0.088"
"CAGL0G06732g"	"T10"	0.316	"CAGL0G06732g - 0.316"
"CAGL0G06798g"	"T10"	0.133	"CAGL0G06798g - 0.133"
"CAGL0G06952g"	"T10"	NA	"CAGL0G06952g - NA"
"CAGL0G07106g"	"T10"	-0.391	"CAGL0G07106g - -0.391"
"CAGL0G07711g"	"T10"	-0.449	"CAGL0G07711g - -0.449"
"CAGL0G07821g"	"T10"	NA	"CAGL0G07821g - NA"
"CAGL0G08019g"	"T10"	NA	"CAGL0G08019g - NA"
"CAGL0G08041g"	"T10"	-0.357	"CAGL0G08041g - -0.357"
"CAGL0G08712g"	"T10"	-0.82	"CAGL0G08712g - -0.82"
"CAGL0G08734g"	"T10"	1.545	"CAGL0G08734g - 1.545"
"CAGL0G09064g"	"T10"	NA	"CAGL0G09064g - NA"
"CAGL0G09130g"	"T10"	0.133	"CAGL0G09130g - 0.133"
"CAGL0G09383g"	"T10"	-0.643	"CAGL0G09383g - -0.643"
"CAGL0G09691g"	"T10"	-0.213	"CAGL0G09691g - -0.213"
"CAGL0G09977g"	"T10"	NA	"CAGL0G09977g - NA"
"CAGL0G10131g"	"T10"	-0.052	"CAGL0G10131g - -0.052"
"CAGL0G10153g"	"T10"	0.164	"CAGL0G10153g - 0.164"
"CAGL0G10175g"	"T10"	NA	"CAGL0G10175g - NA"
"CAGL0H00418g"	"T10"	0.888	"CAGL0H00418g - 0.888"
"CAGL0H00440g"	"T10"	NA	"CAGL0H00440g - NA"
"CAGL0H00506g"	"T10"	0.133	"CAGL0H00506g - 0.133"
"CAGL0H00572g"	"T10"	NA	"CAGL0H00572g - NA"
"CAGL0H00594g"	"T10"	NA	"CAGL0H00594g - NA"
"CAGL0H00682g"	"T10"	NA	"CAGL0H00682g - NA"
"CAGL0H00704g"	"T10"	NA	"CAGL0H00704g - NA"
"CAGL0H00825g"	"T10"	NA	"CAGL0H00825g - NA"
"CAGL0H02101g"	"T10"	1.708	"CAGL0H02101g - 1.708"
"CAGL0H02387g"	"T10"	NA	"CAGL0H02387g - NA"
"CAGL0H02491g"	"T10"	NA	"CAGL0H02491g - NA"
"CAGL0H02563g"	"T10"	NA	"CAGL0H02563g - NA"
"CAGL0H02585g"	"T10"	-2.162	"CAGL0H02585g - -2.162"
"CAGL0H02893g"	"T10"	NA	"CAGL0H02893g - NA"
"CAGL0H02959g"	"T10"	NA	"CAGL0H02959g - NA"
"CAGL0H03179g"	"T10"	NA	"CAGL0H03179g - NA"
"CAGL0H03487g"	"T10"	NA	"CAGL0H03487g - NA"
"CAGL0H03751g"	"T10"	NA	"CAGL0H03751g - NA"
"CAGL0H03795g"	"T10"	0.682	"CAGL0H03795g - 0.682"
"CAGL0H03993g"	"T10"	0.023	"CAGL0H03993g - 0.023"
"CAGL0H04037g"	"T10"	NA	"CAGL0H04037g - NA"
"CAGL0H04081g"	"T10"	-1.291	"CAGL0H04081g - -1.291"
"CAGL0H04125g"	"T10"	0.505	"CAGL0H04125g - 0.505"
"CAGL0H04191g"	"T10"	-0.095	"CAGL0H04191g - -0.095"
"CAGL0H04851g"	"T10"	NA	"CAGL0H04851g - NA"
"CAGL0H04939g"	"T10"	NA	"CAGL0H04939g - NA"
"CAGL0H05137g"	"T10"	-0.57	"CAGL0H05137g - -0.57"
"CAGL0H05445g"	"T10"	-0.368	"CAGL0H05445g - -0.368"
"CAGL0H05643g"	"T10"	0.249	"CAGL0H05643g - 0.249"
"CAGL0H06545g"	"T10"	NA	"CAGL0H06545g - NA"
"CAGL0H06699g"	"T10"	1.487	"CAGL0H06699g - 1.487"
"CAGL0H06787g"	"T10"	-0.202	"CAGL0H06787g - -0.202"
"CAGL0H07051g"	"T10"	0.315	"CAGL0H07051g - 0.315"
"CAGL0H07337g"	"T10"	NA	"CAGL0H07337g - NA"
"CAGL0H07579g"	"T10"	-0.316	"CAGL0H07579g - -0.316"
"CAGL0H07887g"	"T10"	0.066	"CAGL0H07887g - 0.066"
"CAGL0H08063g"	"T10"	NA	"CAGL0H08063g - NA"
"CAGL0H08261g"	"T10"	NA	"CAGL0H08261g - NA"
"CAGL0H08541g"	"T10"	1.111	"CAGL0H08541g - 1.111"
"CAGL0H08624g"	"T10"	NA	"CAGL0H08624g - NA"
"CAGL0H08822g"	"T10"	NA	"CAGL0H08822g - NA"
"CAGL0H08844g"	"T10"	0.876	"CAGL0H08844g - 0.876"
"CAGL0H09064g"	"T10"	-0.141	"CAGL0H09064g - -0.141"
"CAGL0H09460g"	"T10"	-0.963	"CAGL0H09460g - -0.963"
"CAGL0H09592g"	"T10"	NA	"CAGL0H09592g - NA"
"CAGL0H09614g"	"T10"	NA	"CAGL0H09614g - NA"
"CAGL0H09944g"	"T10"	-4.075	"CAGL0H09944g - -4.075"
"CAGL0H09966g"	"T10"	NA	"CAGL0H09966g - NA"
"CAGL0H10010g"	"T10"	NA	"CAGL0H10010g - NA"
"CAGL0H10076g"	"T10"	-1.555	"CAGL0H10076g - -1.555"
"CAGL0H10142g"	"T10"	-0.158	"CAGL0H10142g - -0.158"
"CAGL0I00286g"	"T10"	NA	"CAGL0I00286g - NA"
"CAGL0I00462g"	"T10"	0.201	"CAGL0I00462g - 0.201"
"CAGL0I00528g"	"T10"	NA	"CAGL0I00528g - NA"
"CAGL0I00550g"	"T10"	NA	"CAGL0I00550g - NA"
"CAGL0I00748g"	"T10"	1.662	"CAGL0I00748g - 1.662"
"CAGL0I00792g"	"T10"	0.625	"CAGL0I00792g - 0.625"
"CAGL0I00814g"	"T10"	-0.032	"CAGL0I00814g - -0.032"
"CAGL0I01100g"	"T10"	0.271	"CAGL0I01100g - 0.271"
"CAGL0I01166g"	"T10"	0.119	"CAGL0I01166g - 0.119"
"CAGL0I01276g"	"T10"	-0.308	"CAGL0I01276g - -0.308"
"CAGL0I01298g"	"T10"	0.607	"CAGL0I01298g - 0.607"
"CAGL0I01408g"	"T10"	1.978	"CAGL0I01408g - 1.978"
"CAGL0I01980g"	"T10"	NA	"CAGL0I01980g - NA"
"CAGL0I02024g"	"T10"	NA	"CAGL0I02024g - NA"
"CAGL0I02134g"	"T10"	NA	"CAGL0I02134g - NA"
"CAGL0I02486g"	"T10"	-0.74	"CAGL0I02486g - -0.74"
"CAGL0I02508g"	"T10"	NA	"CAGL0I02508g - NA"
"CAGL0I02530g"	"T10"	-0.691	"CAGL0I02530g - -0.691"
"CAGL0I02728g"	"T10"	NA	"CAGL0I02728g - NA"
"CAGL0I03036g"	"T10"	-0.448	"CAGL0I03036g - -0.448"
"CAGL0I03080g"	"T10"	-0.066	"CAGL0I03080g - -0.066"
"CAGL0I03190g"	"T10"	-0.651	"CAGL0I03190g - -0.651"
"CAGL0I03234g"	"T10"	-1.099	"CAGL0I03234g - -1.099"
"CAGL0I03366g"	"T10"	0.467	"CAGL0I03366g - 0.467"
"CAGL0I04004g"	"T10"	NA	"CAGL0I04004g - NA"
"CAGL0I04048g"	"T10"	NA	"CAGL0I04048g - NA"
"CAGL0I04328g"	"T10"	NA	"CAGL0I04328g - NA"
"CAGL0I04334g"	"T10"	NA	"CAGL0I04334g - NA"
"CAGL0I04444g"	"T10"	-0.227	"CAGL0I04444g - -0.227"
"CAGL0I04686g"	"T10"	-0.051	"CAGL0I04686g - -0.051"
"CAGL0I04730g"	"T10"	0.823	"CAGL0I04730g - 0.823"
"CAGL0I04752g"	"T10"	NA	"CAGL0I04752g - NA"
"CAGL0I04906g"	"T10"	-0.843	"CAGL0I04906g - -0.843"
"CAGL0I04972g"	"T10"	NA	"CAGL0I04972g - NA"
"CAGL0I04994g"	"T10"	-0.334	"CAGL0I04994g - -0.334"
"CAGL0I05060g"	"T10"	NA	"CAGL0I05060g - NA"
"CAGL0I05390g"	"T10"	NA	"CAGL0I05390g - NA"
"CAGL0I05610g"	"T10"	NA	"CAGL0I05610g - NA"
"CAGL0I05874g"	"T10"	0.496	"CAGL0I05874g - 0.496"
"CAGL0I05934g"	"T10"	NA	"CAGL0I05934g - NA"
"CAGL0I06006g"	"T10"	-0.279	"CAGL0I06006g - -0.279"
"CAGL0I06050g"	"T10"	-0.137	"CAGL0I06050g - -0.137"
"CAGL0I06182g"	"T10"	-0.751	"CAGL0I06182g - -0.751"
"CAGL0I06644g"	"T10"	NA	"CAGL0I06644g - NA"
"CAGL0I06743g"	"T10"	NA	"CAGL0I06743g - NA"
"CAGL0I06831g"	"T10"	NA	"CAGL0I06831g - NA"
"CAGL0I07249g"	"T10"	NA	"CAGL0I07249g - NA"
"CAGL0I07491g"	"T10"	NA	"CAGL0I07491g - NA"
"CAGL0I07843g"	"T10"	-0.667	"CAGL0I07843g - -0.667"
"CAGL0I07887g"	"T10"	NA	"CAGL0I07887g - NA"
"CAGL0I07969g"	"T10"	NA	"CAGL0I07969g - NA"
"CAGL0I08305g"	"T10"	NA	"CAGL0I08305g - NA"
"CAGL0I08503g"	"T10"	1.882	"CAGL0I08503g - 1.882"
"CAGL0I08547g"	"T10"	-0.638	"CAGL0I08547g - -0.638"
"CAGL0I08987g"	"T10"	-0.021	"CAGL0I08987g - -0.021"
"CAGL0I09009g"	"T10"	NA	"CAGL0I09009g - NA"
"CAGL0I09086g"	"T10"	NA	"CAGL0I09086g - NA"
"CAGL0I09284g"	"T10"	-0.334	"CAGL0I09284g - -0.334"
"CAGL0I09328g"	"T10"	-0.991	"CAGL0I09328g - -0.991"
"CAGL0I09504g"	"T10"	NA	"CAGL0I09504g - NA"
"CAGL0I09702g"	"T10"	NA	"CAGL0I09702g - NA"
"CAGL0I09724g"	"T10"	NA	"CAGL0I09724g - NA"
