"";"Name";"Conditions";"logFC";"hovertext"
"77";"CAGL0C03333g";"T10";NA;"CAGL0C03333g - NA"
"78";"CAGL0C03443g";"T10";"-0.41621040182784";"CAGL0C03443g - -0.41621040182784"
"79";"CAGL0C03487g";"T10";NA;"CAGL0C03487g - NA"
"80";"CAGL0C03608g";"T10";NA;"CAGL0C03608g - NA"
"81";"CAGL0C03630g";"T10";"0.17024546499701";"CAGL0C03630g - 0.17024546499701"
"82";"CAGL0C03652g";"T10";NA;"CAGL0C03652g - NA"
"83";"CAGL0C03850g";"T10";"-0.313304572485953";"CAGL0C03850g - -0.313304572485953"
"84";"CAGL0C03872g";"T10";NA;"CAGL0C03872g - NA"
"85";"CAGL0C04191g";"T10";"-0.541512944425774";"CAGL0C04191g - -0.541512944425774"
"86";"CAGL0C04279g";"T10";"0.531978391769784";"CAGL0C04279g - 0.531978391769784"
"87";"CAGL0C04587g";"T10";"-0.387498480056578";"CAGL0C04587g - -0.387498480056578"
"88";"CAGL0C04917g";"T10";"0.398504052387123";"CAGL0C04917g - 0.398504052387123"
"89";"CAGL0C05027g";"T10";NA;"CAGL0C05027g - NA"
"90";"CAGL0C05115g";"T10";"-0.46130685016898";"CAGL0C05115g - -0.46130685016898"
"91";"CAGL0C05445g";"T10";NA;"CAGL0C05445g - NA"
"92";"CAGL0D00198g";"T10";NA;"CAGL0D00198g - NA"
"93";"CAGL0D00264g";"T10";NA;"CAGL0D00264g - NA"
"94";"CAGL0D00352g";"T10";"0.812026460395109";"CAGL0D00352g - 0.812026460395109"
"95";"CAGL0D00418g";"T10";NA;"CAGL0D00418g - NA"
"96";"CAGL0D00528g";"T10";"-0.0530716366842131";"CAGL0D00528g - -0.0530716366842131"
"97";"CAGL0D00704g";"T10";NA;"CAGL0D00704g - NA"
"98";"CAGL0D00748g";"T10";"1.03922999476812";"CAGL0D00748g - 1.03922999476812"
"99";"CAGL0D00770g";"T10";"0.163348375590101";"CAGL0D00770g - 0.163348375590101"
"100";"CAGL0D00880g";"T10";"0.559427485804778";"CAGL0D00880g - 0.559427485804778"
"101";"CAGL0D01265g";"T10";NA;"CAGL0D01265g - NA"
"102";"CAGL0D01298g";"T10";"-0.650847719436718";"CAGL0D01298g - -0.650847719436718"
"103";"CAGL0D01474g";"T10";NA;"CAGL0D01474g - NA"
"104";"CAGL0D01562g";"T10";"-0.360777057338355";"CAGL0D01562g - -0.360777057338355"
"105";"CAGL0D01958g";"T10";"-0.101566258412654";"CAGL0D01958g - -0.101566258412654"
"106";"CAGL0D02134g";"T10";NA;"CAGL0D02134g - NA"
"107";"CAGL0D02596g";"T10";NA;"CAGL0D02596g - NA"
"108";"CAGL0D02640g";"T10";NA;"CAGL0D02640g - NA"
"109";"CAGL0D02662g";"T10";NA;"CAGL0D02662g - NA"
"110";"CAGL0D03982g";"T10";"0.738579156973388";"CAGL0D03982g - 0.738579156973388"
"111";"CAGL0D04026g";"T10";"-0.0472003457519255";"CAGL0D04026g - -0.0472003457519255"
"112";"CAGL0D04356g";"T10";"0.0360572889008253";"CAGL0D04356g - 0.0360572889008253"
"113";"CAGL0D04686g";"T10";NA;"CAGL0D04686g - NA"
"114";"CAGL0D04708g";"T10";NA;"CAGL0D04708g - NA"
"115";"CAGL0D05060g";"T10";"0.487620825629938";"CAGL0D05060g - 0.487620825629938"
"116";"CAGL0D05082g";"T10";NA;"CAGL0D05082g - NA"
"117";"CAGL0D05192g";"T10";NA;"CAGL0D05192g - NA"
"118";"CAGL0D05280g";"T10";"-0.153035365507971";"CAGL0D05280g - -0.153035365507971"
"119";"CAGL0D05434g";"T10";NA;"CAGL0D05434g - NA"
"120";"CAGL0D05940g";"T10";"-1.27003992336454";"CAGL0D05940g - -1.27003992336454"
"121";"CAGL0D06402g";"T10";"-0.758988397758323";"CAGL0D06402g - -0.758988397758323"
"122";"CAGL0D06424g";"T10";"-0.166237131244319";"CAGL0D06424g - -0.166237131244319"
"123";"CAGL0D06600g";"T10";NA;"CAGL0D06600g - NA"
"124";"CAGL0E00737g";"T10";"-0.812993433531172";"CAGL0E00737g - -0.812993433531172"
"125";"CAGL0E00803g";"T10";"1.51473181075816";"CAGL0E00803g - 1.51473181075816"
"126";"CAGL0E01155g";"T10";"-1.32060500353373";"CAGL0E01155g - -1.32060500353373"
"127";"CAGL0E01243g";"T10";NA;"CAGL0E01243g - NA"
"128";"CAGL0E01287g";"T10";"-0.503039729844398";"CAGL0E01287g - -0.503039729844398"
"129";"CAGL0E01705g";"T10";"0.102706190031923";"CAGL0E01705g - 0.102706190031923"
"130";"CAGL0E01727g";"T10";NA;"CAGL0E01727g - NA"
"131";"CAGL0E01771g";"T10";NA;"CAGL0E01771g - NA"
"132";"CAGL0E01793g";"T10";"1.07710000037312";"CAGL0E01793g - 1.07710000037312"
"133";"CAGL0E01815g";"T10";NA;"CAGL0E01815g - NA"
"134";"CAGL0E01837g";"T10";NA;"CAGL0E01837g - NA"
"135";"CAGL0E01881g";"T10";NA;"CAGL0E01881g - NA"
"136";"CAGL0E01991g";"T10";"-0.00311831380829442";"CAGL0E01991g - -0.00311831380829442"
"137";"CAGL0E02013g";"T10";"0.219401616396589";"CAGL0E02013g - 0.219401616396589"
"138";"CAGL0E02255g";"T10";"2.0453246760043";"CAGL0E02255g - 2.0453246760043"
"139";"CAGL0E02651g";"T10";NA;"CAGL0E02651g - NA"
"140";"CAGL0E03025g";"T10";NA;"CAGL0E03025g - NA"
"141";"CAGL0E03289g";"T10";"0.616974606731372";"CAGL0E03289g - 0.616974606731372"
"142";"CAGL0E03520g";"T10";"-1.43743789554949";"CAGL0E03520g - -1.43743789554949"
"143";"CAGL0E03850g";"T10";"0.123557648678947";"CAGL0E03850g - 0.123557648678947"
"144";"CAGL0E03916g";"T10";NA;"CAGL0E03916g - NA"
"145";"CAGL0E03938g";"T10";"0.339746149730467";"CAGL0E03938g - 0.339746149730467"
"146";"CAGL0E04092g";"T10";"-0.385379077038697";"CAGL0E04092g - -0.385379077038697"
"147";"CAGL0E04224g";"T10";NA;"CAGL0E04224g - NA"
"148";"CAGL0E04334g";"T10";"0.608522918715944";"CAGL0E04334g - 0.608522918715944"
"149";"CAGL0E04510g";"T10";NA;"CAGL0E04510g - NA"
"150";"CAGL0E04548g";"T10";NA;"CAGL0E04548g - NA"
"151";"CAGL0E04554g";"T10";NA;"CAGL0E04554g - NA"
"152";"CAGL0E04884g";"T10";NA;"CAGL0E04884g - NA"
"153";"CAGL0E04994g";"T10";"0.569106949847705";"CAGL0E04994g - 0.569106949847705"
"154";"CAGL0E05148g";"T10";"0.612804235432426";"CAGL0E05148g - 0.612804235432426"
"155";"CAGL0E05170g";"T10";NA;"CAGL0E05170g - NA"
"156";"CAGL0E05346g";"T10";"0.232160595182473";"CAGL0E05346g - 0.232160595182473"
"157";"CAGL0E05456g";"T10";NA;"CAGL0E05456g - NA"
"158";"CAGL0E05500g";"T10";"-0.551424706911207";"CAGL0E05500g - -0.551424706911207"
"159";"CAGL0E05588g";"T10";NA;"CAGL0E05588g - NA"
"160";"CAGL0E05654g";"T10";NA;"CAGL0E05654g - NA"
"161";"CAGL0E05830g";"T10";"1.09261891336991";"CAGL0E05830g - 1.09261891336991"
"162";"CAGL0E06072g";"T10";NA;"CAGL0E06072g - NA"
"163";"CAGL0E06116g";"T10";NA;"CAGL0E06116g - NA"
"164";"CAGL0E06138g";"T10";"-0.0209408604409051";"CAGL0E06138g - -0.0209408604409051"
"165";"CAGL0E06380g";"T10";NA;"CAGL0E06380g - NA"
"166";"CAGL0E06424g";"T10";"-0.788286320407556";"CAGL0E06424g - -0.788286320407556"
"167";"CAGL0F00187g";"T10";NA;"CAGL0F00187g - NA"
"168";"CAGL0F00209g";"T10";NA;"CAGL0F00209g - NA"
"169";"CAGL0F00231g";"T10";"-0.41523688795425";"CAGL0F00231g - -0.41523688795425"
