"";"Name";"Conditions";"logFC";"hovertext"
"1";"CAGL0A00737g";"log(pH8/pH4)";"1.62e+00";"CAGL0A00737g - 1.62e+00"
"2";"CAGL0A00979g";"log(pH8/pH4)";"-2.15e-01";"CAGL0A00979g - -2.15e-01"
"3";"CAGL0A01067g";"log(pH8/pH4)";"-4.92e-01";"CAGL0A01067g - -4.92e-01"
"4";"CAGL0A01089g";"log(pH8/pH4)";"2.45e+00";"CAGL0A01089g - 2.45e+00"
"5";"CAGL0A01199g";"log(pH8/pH4)";"3.38e-01";"CAGL0A01199g - 3.38e-01"
"6";"CAGL0A01221g";"log(pH8/pH4)";"-9.76e-01";"CAGL0A01221g - -9.76e-01"
"7";"CAGL0A01243g";"log(pH8/pH4)";"-4.02e+00";"CAGL0A01243g - -4.02e+00"
"8";"CAGL0A01650g";"log(pH8/pH4)";"-1.56e+00";"CAGL0A01650g - -1.56e+00"
"9";"CAGL0A01716g";"log(pH8/pH4)";"5.53e-01";"CAGL0A01716g - 5.53e-01"
"10";"CAGL0A01782g";"log(pH8/pH4)";"6.80e-01";"CAGL0A01782g - 6.80e-01"
"11";"CAGL0A01826g";"log(pH8/pH4)";"-1.51e-01";"CAGL0A01826g - -1.51e-01"
"12";"CAGL0A02002g";"log(pH8/pH4)";"3.75e-01";"CAGL0A02002g - 3.75e-01"
"13";"CAGL0A02112g";"log(pH8/pH4)";"-2.62e-01";"CAGL0A02112g - -2.62e-01"
"14";"CAGL0A02145g";"log(pH8/pH4)";"4.28e-01";"CAGL0A02145g - 4.28e-01"
"15";"CAGL0A02211g";"log(pH8/pH4)";"4.85e-01";"CAGL0A02211g - 4.85e-01"
"16";"CAGL0A02233g";"log(pH8/pH4)";"7.37e-02";"CAGL0A02233g - 7.37e-02"
"17";"CAGL0A02277g";"log(pH8/pH4)";"2.99e+00";"CAGL0A02277g - 2.99e+00"
"18";"CAGL0A02299g";"log(pH8/pH4)";"1.08e+00";"CAGL0A02299g - 1.08e+00"
"19";"CAGL0A02816g";"log(pH8/pH4)";"9.79e-01";"CAGL0A02816g - 9.79e-01"
"20";"CAGL0A03102g";"log(pH8/pH4)";"2.48e+00";"CAGL0A03102g - 2.48e+00"
"21";"CAGL0A03366g";"log(pH8/pH4)";"2.83e-01";"CAGL0A03366g - 2.83e-01"
"22";"CAGL0A03476g";"log(pH8/pH4)";"5.24e-01";"CAGL0A03476g - 5.24e-01"
"23";"CAGL0A03542g";"log(pH8/pH4)";"-1.43e+00";"CAGL0A03542g - -1.43e+00"
"24";"CAGL0A03740g";"log(pH8/pH4)";"1.44e+00";"CAGL0A03740g - 1.44e+00"
"25";"CAGL0A03905g";"log(pH8/pH4)";"-9.86e-03";"CAGL0A03905g - -9.86e-03"
"26";"CAGL0A04015g";"log(pH8/pH4)";"-2.87e-01";"CAGL0A04015g - -2.87e-01"
"27";"CAGL0A04499g";"log(pH8/pH4)";"-7.63e-01";"CAGL0A04499g - -7.63e-01"
"28";"CAGL0A04653g";"log(pH8/pH4)";"-5.46e-02";"CAGL0A04653g - -5.46e-02"
"29";"CAGL0A04829g";"log(pH8/pH4)";"1.69e+00";"CAGL0A04829g - 1.69e+00"
"30";"CAGL0B00286g";"log(pH8/pH4)";"-1.16e-01";"CAGL0B00286g - -1.16e-01"
"31";"CAGL0B00594g";"log(pH8/pH4)";"-1.41e+00";"CAGL0B00594g - -1.41e+00"
"32";"CAGL0B00792g";"log(pH8/pH4)";"-3.61e-01";"CAGL0B00792g - -3.61e-01"
"33";"CAGL0B00814g";"log(pH8/pH4)";"1.02e+00";"CAGL0B00814g - 1.02e+00"
"34";"CAGL0B00946g";"log(pH8/pH4)";"2.10e-01";"CAGL0B00946g - 2.10e-01"
"35";"CAGL0B00990g";"log(pH8/pH4)";"2.80e+00";"CAGL0B00990g - 2.80e+00"
"36";"CAGL0B01012g";"log(pH8/pH4)";"-2.26e-01";"CAGL0B01012g - -2.26e-01"
"37";"CAGL0B01122g";"log(pH8/pH4)";"-6.04e-01";"CAGL0B01122g - -6.04e-01"
"38";"CAGL0B01507g";"log(pH8/pH4)";"-5.05e-01";"CAGL0B01507g - -5.05e-01"
"39";"CAGL0B01639g";"log(pH8/pH4)";"5.59e-01";"CAGL0B01639g - 5.59e-01"
"40";"CAGL0B01727g";"log(pH8/pH4)";"2.22e+00";"CAGL0B01727g - 2.22e+00"
"41";"CAGL0B01881g";"log(pH8/pH4)";"-4.21e-01";"CAGL0B01881g - -4.21e-01"
"42";"CAGL0B02475g";"log(pH8/pH4)";"-2.63e+00";"CAGL0B02475g - -2.63e+00"
"43";"CAGL0B02585g";"log(pH8/pH4)";"3.77e-01";"CAGL0B02585g - 3.77e-01"
"44";"CAGL0B02717g";"log(pH8/pH4)";"-6.36e-01";"CAGL0B02717g - -6.36e-01"
"45";"CAGL0B02794g";"log(pH8/pH4)";"-8.38e-01";"CAGL0B02794g - -8.38e-01"
"46";"CAGL0B02838g";"log(pH8/pH4)";"-1.72e+00";"CAGL0B02838g - -1.72e+00"
"47";"CAGL0B02860g";"log(pH8/pH4)";"3.82e-01";"CAGL0B02860g - 3.82e-01"
"48";"CAGL0B02904g";"log(pH8/pH4)";"-5.81e-01";"CAGL0B02904g - -5.81e-01"
"49";"CAGL0B02970g";"log(pH8/pH4)";"-1.52e+00";"CAGL0B02970g - -1.52e+00"
"50";"CAGL0B03421g";"log(pH8/pH4)";"1.62e+00";"CAGL0B03421g - 1.62e+00"
"51";"CAGL0B03619g";"log(pH8/pH4)";"1.72e+00";"CAGL0B03619g - 1.72e+00"
"52";"CAGL0B03663g";"log(pH8/pH4)";"-8.77e-01";"CAGL0B03663g - -8.77e-01"
"53";"CAGL0B03817g";"log(pH8/pH4)";"1.72e+00";"CAGL0B03817g - 1.72e+00"
"54";"CAGL0B03993g";"log(pH8/pH4)";"-8.14e-01";"CAGL0B03993g - -8.14e-01"
"55";"CAGL0B04213g";"log(pH8/pH4)";"5.95e-01";"CAGL0B04213g - 5.95e-01"
"56";"CAGL0B04433g";"log(pH8/pH4)";"1.55e+00";"CAGL0B04433g - 1.55e+00"
"57";"CAGL0B04675g";"log(pH8/pH4)";"3.17e+00";"CAGL0B04675g - 3.17e+00"
"58";"CAGL0C00110g";"log(pH8/pH4)";"-1.86e+00";"CAGL0C00110g - -1.86e+00"
"59";"CAGL0C00275g";"log(pH8/pH4)";"8.93e-01";"CAGL0C00275g - 8.93e-01"
"60";"CAGL0C00495g";"log(pH8/pH4)";"3.45e-01";"CAGL0C00495g - 3.45e-01"
"61";"CAGL0C00539g";"log(pH8/pH4)";"5.85e-01";"CAGL0C00539g - 5.85e-01"
"62";"CAGL0C00759g";"log(pH8/pH4)";"-1.11e-01";"CAGL0C00759g - -1.11e-01"
"63";"CAGL0C00968g";"log(pH8/pH4)";"-7.02e-02";"CAGL0C00968g - -7.02e-02"
"64";"CAGL0C01133g";"log(pH8/pH4)";"1.44e-01";"CAGL0C01133g - 1.44e-01"
"65";"CAGL0C01287g";"log(pH8/pH4)";"-2.05e-01";"CAGL0C01287g - -2.05e-01"
"66";"CAGL0C01325g";"log(pH8/pH4)";"-1.43e+00";"CAGL0C01325g - -1.43e+00"
"67";"CAGL0C01595g";"log(pH8/pH4)";"-6.83e-02";"CAGL0C01595g - -6.83e-02"
"68";"CAGL0C01727g";"log(pH8/pH4)";"3.45e-01";"CAGL0C01727g - 3.45e-01"
"69";"CAGL0C01749g";"log(pH8/pH4)";"2.08e+00";"CAGL0C01749g - 2.08e+00"
"70";"CAGL0C01771g";"log(pH8/pH4)";"1.19e+00";"CAGL0C01771g - 1.19e+00"
"71";"CAGL0C02035g";"log(pH8/pH4)";"1.11e-01";"CAGL0C02035g - 1.11e-01"
"72";"CAGL0C02233g";"log(pH8/pH4)";"1.41e-01";"CAGL0C02233g - 1.41e-01"
"73";"CAGL0C02365g";"log(pH8/pH4)";" NA";"CAGL0C02365g -  NA"
"74";"CAGL0C02739g";"log(pH8/pH4)";"3.27e-01";"CAGL0C02739g - 3.27e-01"
"75";"CAGL0C03113g";"log(pH8/pH4)";"1.13e+00";"CAGL0C03113g - 1.13e+00"
"76";"CAGL0C03267g";"log(pH8/pH4)";"1.40e-01";"CAGL0C03267g - 1.40e-01"
"77";"CAGL0C03333g";"log(pH8/pH4)";"6.74e-01";"CAGL0C03333g - 6.74e-01"
"78";"CAGL0C03443g";"log(pH8/pH4)";"-2.69e+00";"CAGL0C03443g - -2.69e+00"
"79";"CAGL0C03487g";"log(pH8/pH4)";"8.11e-01";"CAGL0C03487g - 8.11e-01"
"80";"CAGL0C03608g";"log(pH8/pH4)";"3.24e-01";"CAGL0C03608g - 3.24e-01"
"81";"CAGL0C03630g";"log(pH8/pH4)";"6.35e-02";"CAGL0C03630g - 6.35e-02"
"82";"CAGL0C03652g";"log(pH8/pH4)";"-1.41e-01";"CAGL0C03652g - -1.41e-01"
"83";"CAGL0C03850g";"log(pH8/pH4)";"1.07e+00";"CAGL0C03850g - 1.07e+00"
"84";"CAGL0C03872g";"log(pH8/pH4)";"4.68e+00";"CAGL0C03872g - 4.68e+00"
"85";"CAGL0C04191g";"log(pH8/pH4)";"7.71e-01";"CAGL0C04191g - 7.71e-01"
"86";"CAGL0C04279g";"log(pH8/pH4)";"-7.73e-01";"CAGL0C04279g - -7.73e-01"
"87";"CAGL0C04587g";"log(pH8/pH4)";"2.30e+00";"CAGL0C04587g - 2.30e+00"
"88";"CAGL0C04917g";"log(pH8/pH4)";"-8.21e-01";"CAGL0C04917g - -8.21e-01"
"89";"CAGL0C05027g";"log(pH8/pH4)";"-6.61e-01";"CAGL0C05027g - -6.61e-01"
"90";"CAGL0C05115g";"log(pH8/pH4)";"5.05e-01";"CAGL0C05115g - 5.05e-01"
"91";"CAGL0C05445g";"log(pH8/pH4)";"7.31e-01";"CAGL0C05445g - 7.31e-01"
"92";"CAGL0D00198g";"log(pH8/pH4)";"3.36e+00";"CAGL0D00198g - 3.36e+00"
"93";"CAGL0D00264g";"log(pH8/pH4)";"-1.49e-01";"CAGL0D00264g - -1.49e-01"
"94";"CAGL0D00352g";"log(pH8/pH4)";"5.06e-01";"CAGL0D00352g - 5.06e-01"
"95";"CAGL0D00418g";"log(pH8/pH4)";"6.60e-01";"CAGL0D00418g - 6.60e-01"
"96";"CAGL0D00528g";"log(pH8/pH4)";"-2.69e-01";"CAGL0D00528g - -2.69e-01"
"97";"CAGL0D00704g";"log(pH8/pH4)";"1.42e+00";"CAGL0D00704g - 1.42e+00"
"98";"CAGL0D00748g";"log(pH8/pH4)";"-1.52e+00";"CAGL0D00748g - -1.52e+00"
"99";"CAGL0D00770g";"log(pH8/pH4)";"9.20e-01";"CAGL0D00770g - 9.20e-01"
"100";"CAGL0D00880g";"log(pH8/pH4)";"-1.38e-01";"CAGL0D00880g - -1.38e-01"
"101";"CAGL0D01265g";"log(pH8/pH4)";"-1.62e+00";"CAGL0D01265g - -1.62e+00"
