"";"Name";"Conditions";"logFC";"hovertext"
"1";"CAGL0A00737g";"log(0.5H/0H)";"-9.79e-01";"CAGL0A00737g - -9.79e-01"
"2";"CAGL0A00979g";"log(0.5H/0H)";"-1.79e-01";"CAGL0A00979g - -1.79e-01"
"3";"CAGL0A01067g";"log(0.5H/0H)";"-2.21e-01";"CAGL0A01067g - -2.21e-01"
"4";"CAGL0A01089g";"log(0.5H/0H)";"-1.73e-01";"CAGL0A01089g - -1.73e-01"
"5";"CAGL0A01199g";"log(0.5H/0H)";"-1.11e-01";"CAGL0A01199g - -1.11e-01"
"6";"CAGL0A01221g";"log(0.5H/0H)";"-7.87e-01";"CAGL0A01221g - -7.87e-01"
"7";"CAGL0A01243g";"log(0.5H/0H)";"1.70e+00";"CAGL0A01243g - 1.70e+00"
"8";"CAGL0A01650g";"log(0.5H/0H)";"-6.54e-01";"CAGL0A01650g - -6.54e-01"
"9";"CAGL0A01716g";"log(0.5H/0H)";"8.30e-01";"CAGL0A01716g - 8.30e-01"
"10";"CAGL0A01782g";"log(0.5H/0H)";"-1.23e+00";"CAGL0A01782g - -1.23e+00"
"11";"CAGL0A01826g";"log(0.5H/0H)";"-6.11e-01";"CAGL0A01826g - -6.11e-01"
"12";"CAGL0A02002g";"log(0.5H/0H)";"-2.02e-01";"CAGL0A02002g - -2.02e-01"
"13";"CAGL0A02112g";"log(0.5H/0H)";"-4.54e-01";"CAGL0A02112g - -4.54e-01"
"14";"CAGL0A02145g";"log(0.5H/0H)";"3.69e-01";"CAGL0A02145g - 3.69e-01"
"15";"CAGL0A02211g";"log(0.5H/0H)";"-6.26e-01";"CAGL0A02211g - -6.26e-01"
"16";"CAGL0A02233g";"log(0.5H/0H)";"-1.29e+00";"CAGL0A02233g - -1.29e+00"
"17";"CAGL0A02277g";"log(0.5H/0H)";"6.10e-01";"CAGL0A02277g - 6.10e-01"
"18";"CAGL0A02299g";"log(0.5H/0H)";"9.86e-01";"CAGL0A02299g - 9.86e-01"
"19";"CAGL0A02816g";"log(0.5H/0H)";"1.54e-01";"CAGL0A02816g - 1.54e-01"
"20";"CAGL0A03102g";"log(0.5H/0H)";"-6.70e-01";"CAGL0A03102g - -6.70e-01"
"21";"CAGL0A03366g";"log(0.5H/0H)";"-2.64e-01";"CAGL0A03366g - -2.64e-01"
"22";"CAGL0A03476g";"log(0.5H/0H)";"1.32e+00";"CAGL0A03476g - 1.32e+00"
"23";"CAGL0A03542g";"log(0.5H/0H)";"1.06e+00";"CAGL0A03542g - 1.06e+00"
"24";"CAGL0A03740g";"log(0.5H/0H)";"1.76e-01";"CAGL0A03740g - 1.76e-01"
"25";"CAGL0A03905g";"log(0.5H/0H)";"3.38e+00";"CAGL0A03905g - 3.38e+00"
"26";"CAGL0A04015g";"log(0.5H/0H)";"-4.77e-01";"CAGL0A04015g - -4.77e-01"
"27";"CAGL0A04499g";"log(0.5H/0H)";"-8.10e-01";"CAGL0A04499g - -8.10e-01"
"28";"CAGL0A04653g";"log(0.5H/0H)";"9.01e-02";"CAGL0A04653g - 9.01e-02"
"29";"CAGL0A04829g";"log(0.5H/0H)";"5.47e-01";"CAGL0A04829g - 5.47e-01"
"30";"CAGL0B00286g";"log(0.5H/0H)";"1.02e-01";"CAGL0B00286g - 1.02e-01"
"31";"CAGL0B00594g";"log(0.5H/0H)";"4.39e-02";"CAGL0B00594g - 4.39e-02"
"32";"CAGL0B00792g";"log(0.5H/0H)";"-6.55e-01";"CAGL0B00792g - -6.55e-01"
"33";"CAGL0B00814g";"log(0.5H/0H)";"7.40e-01";"CAGL0B00814g - 7.40e-01"
"34";"CAGL0B00946g";"log(0.5H/0H)";"9.16e-01";"CAGL0B00946g - 9.16e-01"
"35";"CAGL0B00990g";"log(0.5H/0H)";"-1.16e+00";"CAGL0B00990g - -1.16e+00"
"36";"CAGL0B01012g";"log(0.5H/0H)";"5.10e-01";"CAGL0B01012g - 5.10e-01"
"37";"CAGL0B01122g";"log(0.5H/0H)";"-9.36e-01";"CAGL0B01122g - -9.36e-01"
"38";"CAGL0B01507g";"log(0.5H/0H)";"-3.91e-01";"CAGL0B01507g - -3.91e-01"
"39";"CAGL0B01639g";"log(0.5H/0H)";"4.18e-01";"CAGL0B01639g - 4.18e-01"
"40";"CAGL0B01727g";"log(0.5H/0H)";"1.44e+00";"CAGL0B01727g - 1.44e+00"
"41";"CAGL0B01881g";"log(0.5H/0H)";"-7.83e-01";"CAGL0B01881g - -7.83e-01"
"42";"CAGL0B02475g";"log(0.5H/0H)";"-4.73e-01";"CAGL0B02475g - -4.73e-01"
"43";"CAGL0B02585g";"log(0.5H/0H)";"2.14e-02";"CAGL0B02585g - 2.14e-02"
"44";"CAGL0B02717g";"log(0.5H/0H)";"6.12e-01";"CAGL0B02717g - 6.12e-01"
"45";"CAGL0B02794g";"log(0.5H/0H)";"-3.80e-01";"CAGL0B02794g - -3.80e-01"
"46";"CAGL0B02838g";"log(0.5H/0H)";"-1.24e+00";"CAGL0B02838g - -1.24e+00"
"47";"CAGL0B02860g";"log(0.5H/0H)";"5.44e-01";"CAGL0B02860g - 5.44e-01"
"48";"CAGL0B02904g";"log(0.5H/0H)";"-5.57e-01";"CAGL0B02904g - -5.57e-01"
"49";"CAGL0B02970g";"log(0.5H/0H)";"2.03e-01";"CAGL0B02970g - 2.03e-01"
"50";"CAGL0B03421g";"log(0.5H/0H)";"1.17e+00";"CAGL0B03421g - 1.17e+00"
"51";"CAGL0B03619g";"log(0.5H/0H)";"2.62e+00";"CAGL0B03619g - 2.62e+00"
"52";"CAGL0B03663g";"log(0.5H/0H)";"-4.11e-01";"CAGL0B03663g - -4.11e-01"
"53";"CAGL0B03817g";"log(0.5H/0H)";"8.46e-01";"CAGL0B03817g - 8.46e-01"
"54";"CAGL0B03993g";"log(0.5H/0H)";"3.35e-01";"CAGL0B03993g - 3.35e-01"
"55";"CAGL0B04213g";"log(0.5H/0H)";"-1.10e+00";"CAGL0B04213g - -1.10e+00"
"56";"CAGL0B04433g";"log(0.5H/0H)";"-1.84e-01";"CAGL0B04433g - -1.84e-01"
"57";"CAGL0B04675g";"log(0.5H/0H)";"1.77e+00";"CAGL0B04675g - 1.77e+00"
"58";"CAGL0C00110g";"log(0.5H/0H)";"-1.91e-01";"CAGL0C00110g - -1.91e-01"
"59";"CAGL0C00275g";"log(0.5H/0H)";"1.81e+00";"CAGL0C00275g - 1.81e+00"
"60";"CAGL0C00495g";"log(0.5H/0H)";"4.37e-01";"CAGL0C00495g - 4.37e-01"
"61";"CAGL0C00539g";"log(0.5H/0H)";"2.44e-02";"CAGL0C00539g - 2.44e-02"
"62";"CAGL0C00759g";"log(0.5H/0H)";"-7.06e-01";"CAGL0C00759g - -7.06e-01"
"63";"CAGL0C00968g";"log(0.5H/0H)";"5.29e-01";"CAGL0C00968g - 5.29e-01"
"64";"CAGL0C01133g";"log(0.5H/0H)";"7.47e-01";"CAGL0C01133g - 7.47e-01"
"65";"CAGL0C01287g";"log(0.5H/0H)";"-3.86e-01";"CAGL0C01287g - -3.86e-01"
"66";"CAGL0C01325g";"log(0.5H/0H)";"8.44e-01";"CAGL0C01325g - 8.44e-01"
"67";"CAGL0C01595g";"log(0.5H/0H)";"8.40e-01";"CAGL0C01595g - 8.40e-01"
"68";"CAGL0C01727g";"log(0.5H/0H)";"8.24e-01";"CAGL0C01727g - 8.24e-01"
"69";"CAGL0C01749g";"log(0.5H/0H)";"1.44e+00";"CAGL0C01749g - 1.44e+00"
"70";"CAGL0C01771g";"log(0.5H/0H)";"2.07e+00";"CAGL0C01771g - 2.07e+00"
"71";"CAGL0C02035g";"log(0.5H/0H)";"3.79e-01";"CAGL0C02035g - 3.79e-01"
"72";"CAGL0C02233g";"log(0.5H/0H)";"1.51e-01";"CAGL0C02233g - 1.51e-01"
"73";"CAGL0C02365g";"log(0.5H/0H)";"-2.59e-01";"CAGL0C02365g - -2.59e-01"
"74";"CAGL0C02739g";"log(0.5H/0H)";"4.42e-01";"CAGL0C02739g - 4.42e-01"
"75";"CAGL0C03113g";"log(0.5H/0H)";"1.72e+00";"CAGL0C03113g - 1.72e+00"
"76";"CAGL0C03267g";"log(0.5H/0H)";"-6.89e-01";"CAGL0C03267g - -6.89e-01"
"77";"CAGL0C03333g";"log(0.5H/0H)";"1.17e+00";"CAGL0C03333g - 1.17e+00"
"78";"CAGL0C03443g";"log(0.5H/0H)";"-1.02e+00";"CAGL0C03443g - -1.02e+00"
"79";"CAGL0C03487g";"log(0.5H/0H)";"5.00e-01";"CAGL0C03487g - 5.00e-01"
"80";"CAGL0C03608g";"log(0.5H/0H)";"1.73e-01";"CAGL0C03608g - 1.73e-01"
"81";"CAGL0C03630g";"log(0.5H/0H)";"-5.83e-01";"CAGL0C03630g - -5.83e-01"
"82";"CAGL0C03652g";"log(0.5H/0H)";"-1.81e-01";"CAGL0C03652g - -1.81e-01"
"83";"CAGL0C03850g";"log(0.5H/0H)";"2.61e-01";"CAGL0C03850g - 2.61e-01"
"84";"CAGL0C03872g";"log(0.5H/0H)";"2.08e-01";"CAGL0C03872g - 2.08e-01"
"85";"CAGL0C04191g";"log(0.5H/0H)";"1.34e+00";"CAGL0C04191g - 1.34e+00"
"86";"CAGL0C04279g";"log(0.5H/0H)";"-2.48e-01";"CAGL0C04279g - -2.48e-01"
"87";"CAGL0C04587g";"log(0.5H/0H)";"1.59e+00";"CAGL0C04587g - 1.59e+00"
"88";"CAGL0C04917g";"log(0.5H/0H)";"-1.06e-01";"CAGL0C04917g - -1.06e-01"
"89";"CAGL0C05027g";"log(0.5H/0H)";"-3.73e-02";"CAGL0C05027g - -3.73e-02"
"90";"CAGL0C05115g";"log(0.5H/0H)";"-8.50e-01";"CAGL0C05115g - -8.50e-01"
"91";"CAGL0C05445g";"log(0.5H/0H)";"-2.57e-01";"CAGL0C05445g - -2.57e-01"
"92";"CAGL0D00198g";"log(0.5H/0H)";"1.06e-01";"CAGL0D00198g - 1.06e-01"
"93";"CAGL0D00264g";"log(0.5H/0H)";"1.79e+00";"CAGL0D00264g - 1.79e+00"
"94";"CAGL0D00352g";"log(0.5H/0H)";"1.14e-02";"CAGL0D00352g - 1.14e-02"
"95";"CAGL0D00418g";"log(0.5H/0H)";"6.07e-01";"CAGL0D00418g - 6.07e-01"
"96";"CAGL0D00528g";"log(0.5H/0H)";"4.00e-01";"CAGL0D00528g - 4.00e-01"
"97";"CAGL0D00704g";"log(0.5H/0H)";"1.48e+00";"CAGL0D00704g - 1.48e+00"
