"Name"	"Conditions"	"logFC"	"hovertext"
"CAGL0A00737g"	"log(pH8/pH4)"	1.618	"CAGL0A00737g - 1.618"
"CAGL0A00979g"	"log(pH8/pH4)"	-0.215	"CAGL0A00979g - -0.215"
"CAGL0A01067g"	"log(pH8/pH4)"	-0.492	"CAGL0A01067g - -0.492"
"CAGL0A01089g"	"log(pH8/pH4)"	2.455	"CAGL0A01089g - 2.455"
"CAGL0A01199g"	"log(pH8/pH4)"	0.338	"CAGL0A01199g - 0.338"
"CAGL0A01221g"	"log(pH8/pH4)"	-0.976	"CAGL0A01221g - -0.976"
"CAGL0A01243g"	"log(pH8/pH4)"	-4.023	"CAGL0A01243g - -4.023"
"CAGL0A01650g"	"log(pH8/pH4)"	-1.564	"CAGL0A01650g - -1.564"
"CAGL0A01716g"	"log(pH8/pH4)"	0.553	"CAGL0A01716g - 0.553"
"CAGL0A01782g"	"log(pH8/pH4)"	0.68	"CAGL0A01782g - 0.68"
"CAGL0A01826g"	"log(pH8/pH4)"	-0.151	"CAGL0A01826g - -0.151"
"CAGL0A02002g"	"log(pH8/pH4)"	0.375	"CAGL0A02002g - 0.375"
"CAGL0A02112g"	"log(pH8/pH4)"	-0.262	"CAGL0A02112g - -0.262"
"CAGL0A02145g"	"log(pH8/pH4)"	0.428	"CAGL0A02145g - 0.428"
"CAGL0A02211g"	"log(pH8/pH4)"	0.485	"CAGL0A02211g - 0.485"
"CAGL0A02233g"	"log(pH8/pH4)"	0.074	"CAGL0A02233g - 0.074"
"CAGL0A02277g"	"log(pH8/pH4)"	2.986	"CAGL0A02277g - 2.986"
"CAGL0A02299g"	"log(pH8/pH4)"	1.08	"CAGL0A02299g - 1.08"
"CAGL0A02816g"	"log(pH8/pH4)"	0.979	"CAGL0A02816g - 0.979"
"CAGL0A03102g"	"log(pH8/pH4)"	2.479	"CAGL0A03102g - 2.479"
"CAGL0A03366g"	"log(pH8/pH4)"	0.283	"CAGL0A03366g - 0.283"
"CAGL0A03476g"	"log(pH8/pH4)"	0.524	"CAGL0A03476g - 0.524"
"CAGL0A03542g"	"log(pH8/pH4)"	-1.432	"CAGL0A03542g - -1.432"
"CAGL0A03740g"	"log(pH8/pH4)"	1.444	"CAGL0A03740g - 1.444"
"CAGL0A03905g"	"log(pH8/pH4)"	-0.01	"CAGL0A03905g - -0.01"
"CAGL0A04015g"	"log(pH8/pH4)"	-0.287	"CAGL0A04015g - -0.287"
"CAGL0A04499g"	"log(pH8/pH4)"	-0.763	"CAGL0A04499g - -0.763"
"CAGL0A04653g"	"log(pH8/pH4)"	-0.055	"CAGL0A04653g - -0.055"
"CAGL0A04829g"	"log(pH8/pH4)"	1.685	"CAGL0A04829g - 1.685"
"CAGL0B00286g"	"log(pH8/pH4)"	-0.116	"CAGL0B00286g - -0.116"
"CAGL0B00594g"	"log(pH8/pH4)"	-1.412	"CAGL0B00594g - -1.412"
"CAGL0B00792g"	"log(pH8/pH4)"	-0.361	"CAGL0B00792g - -0.361"
"CAGL0B00814g"	"log(pH8/pH4)"	1.017	"CAGL0B00814g - 1.017"
"CAGL0B00946g"	"log(pH8/pH4)"	0.21	"CAGL0B00946g - 0.21"
"CAGL0B00990g"	"log(pH8/pH4)"	2.797	"CAGL0B00990g - 2.797"
"CAGL0B01012g"	"log(pH8/pH4)"	-0.226	"CAGL0B01012g - -0.226"
"CAGL0B01122g"	"log(pH8/pH4)"	-0.604	"CAGL0B01122g - -0.604"
"CAGL0B01507g"	"log(pH8/pH4)"	-0.505	"CAGL0B01507g - -0.505"
"CAGL0B01639g"	"log(pH8/pH4)"	0.559	"CAGL0B01639g - 0.559"
"CAGL0B01727g"	"log(pH8/pH4)"	2.22	"CAGL0B01727g - 2.22"
"CAGL0B01881g"	"log(pH8/pH4)"	-0.421	"CAGL0B01881g - -0.421"
"CAGL0B02475g"	"log(pH8/pH4)"	-2.626	"CAGL0B02475g - -2.626"
"CAGL0B02585g"	"log(pH8/pH4)"	0.377	"CAGL0B02585g - 0.377"
"CAGL0B02717g"	"log(pH8/pH4)"	-0.636	"CAGL0B02717g - -0.636"
"CAGL0B02794g"	"log(pH8/pH4)"	-0.838	"CAGL0B02794g - -0.838"
"CAGL0B02838g"	"log(pH8/pH4)"	-1.723	"CAGL0B02838g - -1.723"
"CAGL0B02860g"	"log(pH8/pH4)"	0.382	"CAGL0B02860g - 0.382"
"CAGL0B02904g"	"log(pH8/pH4)"	-0.581	"CAGL0B02904g - -0.581"
"CAGL0B02970g"	"log(pH8/pH4)"	-1.523	"CAGL0B02970g - -1.523"
"CAGL0B03421g"	"log(pH8/pH4)"	1.624	"CAGL0B03421g - 1.624"
"CAGL0B03619g"	"log(pH8/pH4)"	1.717	"CAGL0B03619g - 1.717"
"CAGL0B03663g"	"log(pH8/pH4)"	-0.877	"CAGL0B03663g - -0.877"
"CAGL0B03817g"	"log(pH8/pH4)"	1.723	"CAGL0B03817g - 1.723"
"CAGL0B03993g"	"log(pH8/pH4)"	-0.814	"CAGL0B03993g - -0.814"
"CAGL0B04213g"	"log(pH8/pH4)"	0.595	"CAGL0B04213g - 0.595"
"CAGL0B04433g"	"log(pH8/pH4)"	1.551	"CAGL0B04433g - 1.551"
"CAGL0B04675g"	"log(pH8/pH4)"	3.168	"CAGL0B04675g - 3.168"
"CAGL0C00110g"	"log(pH8/pH4)"	-1.861	"CAGL0C00110g - -1.861"
"CAGL0C00275g"	"log(pH8/pH4)"	0.893	"CAGL0C00275g - 0.893"
"CAGL0C00495g"	"log(pH8/pH4)"	0.345	"CAGL0C00495g - 0.345"
"CAGL0C00539g"	"log(pH8/pH4)"	0.585	"CAGL0C00539g - 0.585"
"CAGL0C00759g"	"log(pH8/pH4)"	-0.111	"CAGL0C00759g - -0.111"
"CAGL0C00968g"	"log(pH8/pH4)"	-0.07	"CAGL0C00968g - -0.07"
"CAGL0C01133g"	"log(pH8/pH4)"	0.144	"CAGL0C01133g - 0.144"
"CAGL0C01287g"	"log(pH8/pH4)"	-0.205	"CAGL0C01287g - -0.205"
"CAGL0C01325g"	"log(pH8/pH4)"	-1.431	"CAGL0C01325g - -1.431"
"CAGL0C01595g"	"log(pH8/pH4)"	-0.068	"CAGL0C01595g - -0.068"
"CAGL0C01727g"	"log(pH8/pH4)"	0.345	"CAGL0C01727g - 0.345"
"CAGL0C01749g"	"log(pH8/pH4)"	2.077	"CAGL0C01749g - 2.077"
"CAGL0C01771g"	"log(pH8/pH4)"	1.194	"CAGL0C01771g - 1.194"
"CAGL0C02035g"	"log(pH8/pH4)"	0.111	"CAGL0C02035g - 0.111"
"CAGL0C02233g"	"log(pH8/pH4)"	0.141	"CAGL0C02233g - 0.141"
"CAGL0C02365g"	"log(pH8/pH4)"	NA	"CAGL0C02365g - NA"
"CAGL0C02739g"	"log(pH8/pH4)"	0.327	"CAGL0C02739g - 0.327"
"CAGL0C03113g"	"log(pH8/pH4)"	1.132	"CAGL0C03113g - 1.132"
"CAGL0C03267g"	"log(pH8/pH4)"	0.14	"CAGL0C03267g - 0.14"
"CAGL0C03333g"	"log(pH8/pH4)"	0.674	"CAGL0C03333g - 0.674"
"CAGL0C03443g"	"log(pH8/pH4)"	-2.69	"CAGL0C03443g - -2.69"
"CAGL0C03487g"	"log(pH8/pH4)"	0.811	"CAGL0C03487g - 0.811"
"CAGL0C03608g"	"log(pH8/pH4)"	0.324	"CAGL0C03608g - 0.324"
"CAGL0C03630g"	"log(pH8/pH4)"	0.064	"CAGL0C03630g - 0.064"
"CAGL0C03652g"	"log(pH8/pH4)"	-0.141	"CAGL0C03652g - -0.141"
