type,DOWN (30° and 37°),DOWN (30° or 37°),NO,UP (30° and 37°),UP (30° or 37°)
iHKG - Switch,0,1,9,0,1
iHKG - Type I,10,32,0,7,24
iHKG - Type II,10,52,0,19,60
Other iron responsive genes,15,53,215,32,97
