type,DOWN (30° and 37°),DOWN (30° or 37°),NO,UP (30° and 37°),UP (30° or 37°)
iHKG - Switch,0,1,3,0,0
iHKG - Type I,3,7,0,0,3
iHKG - Type II,0,2,0,3,3
Other iron responsive genes,3,6,24,8,18
